Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,281,"1,256",111,937,572,648,162,933,"1,039",619,"2,234",862,350,680,68,584,175,"2,055","1,632",836,397,709,420,710,166,148,662,232,93,"1,917",396,139,60,233,525,210,627,"3,865",846,329,220,352,"1,050",439,241,461,530,31,564,192,"32,798"
16th St/Mission,"1,277",261,"1,325",671,708,627,98,868,825,"2,907","2,504",981,"1,192",651,249,"2,307",422,"1,974","1,459",428,285,"1,832","1,262",513,94,"1,104","1,438",586,68,"2,319",382,157,78,173,"1,860",304,621,"4,996","1,604",409,817,482,928,809,649,273,512,171,890,85,"47,435"
19th St/Oakland,130,"1,254",152,829,488,508,184,781,994,344,"2,181",790,168,518,50,334,131,"2,020",965,397,204,684,305,462,181,105,392,109,121,"1,989",333,168,103,157,325,168,506,"2,627",651,222,132,288,626,299,86,301,446,56,596,121,"25,981"
24th St/Mission,898,736,883,337,410,354,89,625,656,"2,303","3,773","1,014","1,053",685,143,"1,970",295,"2,551","1,626",354,197,"1,770","1,149",394,217,713,933,573,74,"3,153",346,138,78,111,"1,331",242,364,"7,676","1,554",250,919,371,853,586,884,233,335,128,775,68,"47,170"
Antioch,514,725,436,424,154,78,33,71,167,176,"1,550",325,197,914,16,277,48,"1,375",103,17,57,210,286,98,112,98,552,125,44,"1,227",38,182,149,35,126,253,318,"1,683",97,259,123,54,120,584,158,56,491,11,293,23,"15,462"
Ashby,694,582,527,329,47,107,96,212,691,195,"1,132",412,37,111,30,76,47,931,886,477,60,796,108,148,26,201,427,72,51,836,194,8,65,27,243,19,59,"1,231",604,42,80,83,282,128,28,156,57,25,58,108,"13,841"
Berryessa/North San Jose,168,113,205,93,37,100,119,233,281,81,449,194,12,87,18,90,142,358,139,51,452,368,42,337,10,257,153,5,115,311,51,13,36,11,64,9,59,474,92,26,6,249,269,31,10,316,56,42,54,369,"7,257"
Bay Fair,"1,006",935,775,660,63,217,227,185,416,400,"2,213","1,521",88,169,299,251,"1,081","1,879",301,98,675,"2,178",250,818,41,"1,485",532,90,171,"2,036",162,35,55,56,481,30,98,"2,930",257,90,123,635,"1,089",205,80,492,118,562,117,428,"29,103"
Downtown Berkeley,"1,384",977,"1,154",710,171,902,258,432,300,322,"1,484",819,82,204,95,262,172,"1,532","2,775","2,128",231,"1,377",183,423,99,482,"1,122",183,112,"1,126",392,53,163,61,403,32,143,"1,822","2,218",55,86,212,536,253,86,316,205,76,259,93,"28,965"
Balboa Park,537,"2,513",380,"2,294",166,143,74,334,303,284,"4,670",391,535,248,74,456,167,"3,063",565,134,92,594,324,195,48,468,226,627,27,"4,043",99,44,48,31,555,35,90,"11,137",496,88,"1,032",129,291,758,356,74,127,76,293,32,"39,766"
