Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,243,818,93,599,336,429,,723,844,419,"1,638",753,167,452,43,446,103,"1,150","1,033",462,231,721,307,560,50,119,568,111,,"1,012",213,87,28,115,475,158,416,"1,815",691,187,149,229,845,136,133,324,324,23,397,188,"21,363"
16th St/Mission,820,161,665,403,465,304,,560,346,"2,297","2,249",747,630,317,176,"2,012",274,915,"1,019",256,208,"1,425",896,285,61,536,762,250,,"1,280",155,101,34,69,"1,104",286,270,"2,379","1,084",167,480,223,590,394,460,196,168,79,481,106,"29,145"
19th St/Oakland,100,678,111,342,370,372,,577,509,188,"1,323",702,92,309,51,253,113,902,916,320,167,578,183,351,87,78,363,52,,848,205,146,34,58,279,149,382,"1,165",539,205,99,163,573,74,106,207,234,51,323,237,"16,164"
24th St/Mission,551,433,359,187,243,181,,352,266,"1,821","3,169",740,708,385,93,"1,292",155,"1,415",751,165,89,"1,114",876,248,47,487,594,280,,"1,795",174,81,40,43,860,151,139,"3,159","1,082",101,604,262,415,240,554,185,183,70,487,85,"27,711"
Antioch,337,458,325,312,107,62,,52,84,133,"1,201",259,148,679,9,194,50,882,71,20,19,155,217,104,84,62,500,56,,658,8,89,66,27,146,158,226,633,112,170,131,40,91,166,120,34,358,2,231,69,"10,115"
Ashby,490,300,403,208,48,64,,160,529,128,545,409,23,77,37,33,33,518,696,319,56,570,46,129,14,136,296,21,,387,114,5,19,17,172,9,33,518,515,16,90,85,255,30,16,151,43,4,44,56,"8,867"
Berryessa/North San Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Fair,800,597,511,390,51,172,,149,237,272,"1,764","1,156",65,138,276,155,749,"1,069",201,74,562,"1,602",175,653,13,934,553,15,,"1,178",93,21,27,33,295,45,45,"1,265",110,77,47,570,895,120,47,568,47,192,65,286,"19,359"
Downtown Berkeley,"1,079",345,676,276,71,640,,272,146,109,917,595,45,99,26,127,70,817,"1,797","1,095",78,962,96,221,38,323,755,70,,459,237,20,65,10,212,45,79,653,"1,598",44,44,131,408,113,27,157,53,24,111,115,"16,350"
Balboa Park,420,"2,079",177,"1,731",122,133,,283,125,151,"3,512",295,272,137,28,404,112,"1,785",298,93,70,453,341,150,38,165,182,256,,"2,352",35,10,26,16,359,52,76,"4,279",284,54,576,86,199,399,325,78,58,27,113,54,"23,270"
