Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,352,"1,454",138,"1,072",586,638,219,"1,033","1,312",700,"2,565","1,003",392,850,72,706,179,"2,291","1,703",851,459,755,492,866,234,135,679,272,79,"2,300",398,167,92,261,508,218,731,"3,887","1,016",298,249,446,"1,288",457,269,534,631,37,641,126,"36,641"
16th St/Mission,"1,449",372,"1,422",800,792,711,144,"1,060",974,"3,317","2,673","1,094","1,262",719,230,"2,898",565,"2,176","1,742",516,358,"2,139","1,498",583,162,"1,241","1,681",665,69,"2,534",445,175,77,204,"2,068",335,714,"5,392","1,738",449,950,513,"1,087",903,683,355,540,215,"1,150",117,"53,956"
19th St/Oakland,121,"1,438",188,838,605,546,243,903,"1,123",345,"2,503",820,160,586,57,422,134,"2,244","1,117",472,222,819,362,630,215,83,470,145,97,"2,033",342,212,107,162,269,218,587,"2,718",758,234,163,339,734,295,123,400,465,68,663,166,"28,964"
24th St/Mission,915,828,899,361,525,417,124,765,784,"2,728","4,331","1,216","1,128",654,173,"2,088",313,"2,776","1,963",397,246,"2,053","1,403",442,181,849,"1,122",666,88,"3,562",361,148,109,128,"1,598",279,471,"7,704","1,843",361,"1,001",392,882,668,981,303,316,133,838,66,"52,579"
Antioch,562,849,562,560,171,113,42,71,188,204,"1,900",327,266,"1,034",18,344,61,"1,718",134,30,74,248,333,135,115,145,718,150,28,"1,489",42,194,177,53,140,221,436,"1,959",81,322,152,68,132,677,176,68,517,9,283,37,"18,333"
Ashby,763,695,534,416,75,105,90,223,788,179,"1,322",488,53,124,33,111,73,930,908,500,74,762,98,150,18,216,484,55,66,878,248,14,59,39,232,34,68,"1,356",593,41,97,134,369,151,38,174,55,20,59,107,"15,099"
Berryessa/North San Jose,226,135,250,133,32,106,155,270,338,91,507,244,7,94,28,95,156,370,191,47,512,385,41,380,11,306,205,7,159,412,53,11,55,9,67,18,53,530,94,38,6,271,272,20,4,384,52,47,78,405,"8,360"
Bay Fair,"1,128","1,127",908,776,71,217,269,213,540,421,"2,472","1,586",120,191,359,278,"1,056","2,234",360,105,839,"2,481",212,831,46,"1,703",591,99,196,"2,379",187,50,40,72,503,25,71,"3,316",220,82,120,633,"1,169",250,69,517,119,642,99,421,"32,413"
Downtown Berkeley,"1,538","1,096","1,266",762,142,"1,083",303,540,265,366,"1,754",851,118,209,122,315,211,"1,656","3,129","2,230",252,"1,452",170,453,114,513,"1,242",185,82,"1,171",356,68,154,77,385,47,169,"2,017","2,633",39,98,269,656,273,141,392,221,104,278,60,"32,027"
Balboa Park,621,"2,835",379,"2,653",193,166,65,379,337,245,"5,236",373,615,241,107,514,157,"3,381",629,152,102,565,428,189,60,438,312,674,25,"4,478",84,35,54,36,554,44,70,"12,042",536,80,"1,112",197,289,772,466,87,173,75,279,63,"43,597"
Civic Center/UN Plaza,"2,360","2,335","2,490","3,565","1,590","1,258",421,"2,091","1,483","5,822",497,"2,573","2,304","2,124",761,"4,408","1,744","1,066","3,511","1,188",735,"4,936","2,419","1,099",506,"2,302","2,523","1,081",260,925,746,575,134,385,"4,379",572,"1,487",767,"2,342",814,"1,220","1,003","2,026","1,167","1,314",893,"1,177",539,"1,732",219,"83,868"
Coliseum,"1,310","1,177",762,"1,226",307,403,233,"1,480",752,422,"2,467",291,95,304,321,472,674,"2,033",750,275,486,"1,931",430,"1,180",83,"1,122",984,86,119,"1,940",246,50,185,38,790,146,121,"3,192",768,146,148,610,"1,207",218,62,437,145,315,247,317,"33,503"
Colma,316,986,196,"1,090",218,54,10,105,113,624,"2,065",48,107,101,31,251,59,"1,150",215,29,52,75,387,76,25,68,131,449,8,"1,354",31,33,2,15,141,104,75,"3,028",168,31,416,50,85,901,138,102,71,2,212,32,"16,030"
Concord,822,834,634,721,"1,022",113,93,190,229,304,"2,441",308,128,242,22,227,69,"2,003",274,119,82,408,364,193,865,141,699,177,49,"1,795",87,293,156,344,176,974,612,"2,957",214,451,223,99,161,641,133,87,"1,628",38,"1,232",35,"26,109"
Castro Valley,92,275,73,188,10,40,30,302,90,120,729,349,29,36,49,95,750,881,29,54,124,431,82,119,3,634,86,18,14,919,21,3,32,18,110,8,10,"1,039",43,14,72,86,413,84,28,138,25,597,16,38,"9,446"
Daly City,567,"2,896",350,"2,229",331,119,70,292,295,636,"4,617",521,242,207,66,281,340,"3,189",489,99,95,590,543,177,38,402,298,833,83,"3,514",156,53,52,39,422,97,124,"8,655",388,61,918,111,359,"1,229",455,80,246,87,246,51,"38,238"
Dublin/Pleasanton,216,601,193,354,41,77,136,"1,053",246,164,"1,794",646,61,72,655,402,233,"2,219",237,27,291,"1,415",182,440,12,899,283,46,121,"1,747",57,12,271,7,255,17,35,"2,110",134,35,65,275,788,429,52,330,24,216,40,105,"20,120"
Embarcadero,"2,809","2,252","2,611","3,140","2,036","1,109",434,"2,598","1,893","4,112","1,214","2,503","1,274","2,334","1,078","3,376","2,620",431,"3,870","1,295",985,"4,195","2,032","1,780",784,"2,463","2,516",469,227,272,988,626,227,733,"6,099",606,"2,219","1,053","2,608","1,161",723,"1,268","3,179",898,907,"1,038","1,550",850,"2,430",272,"88,147"
El Cerrito del Norte,"1,666","1,967","1,140","2,037",139,792,180,375,"2,964",726,"4,139",800,286,307,43,509,224,"3,669",232,511,291,"1,122",621,362,73,551,"1,419",263,141,"3,417",492,39,193,61,391,76,128,"5,701",851,118,260,287,501,675,223,239,227,56,206,151,"41,841"
El Cerrito Plaza,905,624,552,471,32,544,32,153,"2,056",191,"1,236",233,39,97,44,91,33,"1,350",503,104,109,508,103,91,62,264,667,118,42,"1,363",368,30,55,37,99,28,85,"1,708",883,96,48,131,263,227,53,113,96,36,78,33,"17,084"
Fremont,474,437,272,227,68,77,488,857,230,129,748,598,53,81,163,113,261,848,308,98,165,947,79,"1,312",6,479,356,38,522,789,72,4,82,24,113,39,94,995,181,20,92,765,564,107,58,"1,053",35,50,58,317,"15,946"
Fruitvale,881,"2,282",842,"2,131",295,821,383,"2,316","1,406",560,"4,840","2,129",101,352,602,509,"1,403","3,574","1,032",449,886,449,490,"1,827",160,970,"1,059",121,215,"3,112",480,28,161,256,"1,043",134,136,"6,158",951,367,234,"1,072","2,510",285,77,717,323,763,233,575,"52,700"
Glen Park,459,"1,389",382,"1,316",274,144,32,234,205,405,"2,238",460,379,304,81,446,135,"1,813",538,116,75,490,191,221,41,309,393,328,34,"2,815",103,51,41,46,318,98,187,"4,607",414,139,521,139,333,380,225,71,114,59,186,33,"24,312"
Hayward,983,570,698,462,146,186,380,879,415,245,"1,218","1,141",92,192,101,212,509,"1,450",427,103,"1,414","1,752",273,162,82,878,462,110,414,"1,011",129,33,68,28,311,66,82,"2,033",255,139,108,771,"1,289",150,70,"1,184",118,199,130,599,"24,729"
Lafayette,253,187,220,199,112,22,12,33,106,73,656,97,23,"1,031",4,46,8,611,46,71,2,171,27,58,57,46,232,18,16,962,13,59,45,77,45,88,424,586,69,214,15,19,93,192,4,53,449,2,260,2,"8,108"
Lake Merritt,155,"1,259",125,858,150,249,264,"1,593",380,458,"2,661","1,413",56,128,670,331,983,"2,386",531,273,542,"1,260",331,"1,002",32,157,249,36,231,"2,109",195,74,129,30,270,54,108,"3,458",361,111,56,622,"1,848",130,36,591,132,460,102,330,"29,969"
MacArthur,698,"1,620",527,972,720,537,180,539,"1,054",290,"2,597",941,199,660,94,309,250,"2,380","1,540",592,308,"1,261",392,478,163,266,238,122,138,"1,770",450,150,101,151,389,456,566,"3,058","1,233",233,137,315,697,378,114,295,647,69,737,150,"32,161"
Millbrae,202,684,147,483,144,52,1,87,227,653,"1,064",88,391,160,11,833,40,407,253,94,27,113,316,128,32,56,126,187,12,735,22,15,10,15,143,21,34,"1,067",183,45,162,34,61,"1,032",160,3,66,2,58,2,"10,888"
Milpitas,101,93,116,83,27,64,177,218,94,43,281,127,16,46,16,84,108,196,130,54,496,205,37,341,20,181,146,6,109,274,46,2,22,5,32,17,18,317,78,6,21,236,152,28,4,319,21,40,21,292,"5,566"
Montgomery St,"2,971","2,834","2,604","4,196","1,767","1,108",467,"2,908","1,463","7,795","1,041","2,513","2,006","2,261","1,026","4,317","1,933",289,"4,065","1,419",972,"4,066","3,212","1,339",985,"2,403","2,172",777,327,364,874,670,164,809,"5,246",599,"2,082",431,"3,163","1,170","1,419","1,326","3,531",941,"1,170","1,118","1,694",497,"2,458",372,"95,334"
North Berkeley,390,442,344,394,38,256,49,162,305,77,773,231,29,60,32,121,64,827,538,375,66,515,101,181,18,189,433,22,50,697,91,28,61,17,48,3,105,820,598,17,12,49,215,135,14,25,97,8,77,54,"10,253"
North Concord/Martinez,150,186,202,130,158,10,8,46,58,52,619,36,17,198,4,64,12,478,41,29,6,38,63,34,42,64,129,23,1,528,30,35,43,6,15,206,152,798,21,72,21,26,31,253,60,5,210,1,333,2,"5,746"
Oakland International Airport,92,75,60,62,120,54,28,27,104,61,128,138,2,132,26,39,204,188,130,38,59,78,29,32,38,79,74,13,22,132,46,32,20,16,44,19,127,214,52,25,16,55,53,95,8,44,84,55,131,22,"3,422"
Orinda,267,224,163,119,40,25,11,57,57,53,372,23,8,274,6,39,4,647,49,30,24,227,30,18,80,28,153,22,4,702,19,26,49,39,18,69,153,443,97,165,26,13,45,147,15,12,323,1,73,2,"5,491"
West Oakland,562,"1,925",271,"1,481",161,191,43,472,295,569,"4,226",816,129,181,112,416,273,"5,451",319,69,97,969,323,286,37,181,392,140,27,"4,373",47,18,49,15,215,58,99,"5,971",290,136,212,201,452,501,174,124,133,36,145,77,"33,740"
Pittsburg Center,223,317,195,253,259,44,25,43,48,73,568,108,55,936,6,72,11,576,71,60,30,147,135,64,92,29,414,31,26,411,9,109,21,82,61,70,318,820,100,134,81,34,118,124,44,39,479,1,160,9,"8,135"
Pleasant Hill/Contra Costa Centre,686,688,614,435,340,91,58,100,186,91,"1,664",152,74,749,4,142,45,"1,913",119,72,91,119,228,54,367,117,625,49,14,"1,955",90,147,172,175,115,400,119,"2,291",61,437,147,26,121,524,47,19,565,13,635,44,"17,990"
Powell St,"3,312","4,594","2,403","6,703","1,747","1,141",426,"2,769","1,634","9,889",963,"2,613","2,449","2,472",953,"6,952","1,812","1,196","4,484","1,405",805,"4,947","4,223","1,595",531,"2,788","2,567","1,028",242,427,622,762,245,374,"5,672",790,"1,896",779,"3,380",809,"1,692",986,"3,190","2,056","1,690",879,"1,354",565,"2,474",246,"109,531"
Richmond,988,"1,884",809,"1,945",92,687,77,241,"2,186",553,"2,474",781,188,185,31,426,121,"2,215",804,825,171,975,503,280,57,419,"1,026",171,74,"2,339",602,23,100,70,298,138,84,"3,876",258,147,293,208,403,297,139,125,194,35,135,57,"31,009"
Rockridge,328,499,328,304,213,34,22,92,47,114,907,116,30,419,8,71,63,"1,019",134,138,29,396,120,141,229,113,244,55,6,"1,037",45,104,32,234,131,124,554,"1,113",230,99,33,43,169,295,26,79,500,4,302,20,"11,393"
San Bruno,242,"1,017",182,"1,176",148,105,6,149,114,"1,169","1,420",186,415,229,53,"1,028",73,659,232,59,77,186,514,94,25,93,123,201,28,"1,040",24,54,18,21,199,76,119,"1,845",275,63,125,91,128,316,239,27,97,9,201,4,"14,974"
South Hayward,494,476,328,410,82,91,210,747,273,153,"1,073",604,43,106,146,86,275,"1,033",262,133,772,971,142,723,25,552,335,55,201,"1,145",77,19,53,14,226,33,29,"1,306",206,44,52,113,787,98,78,407,53,214,77,521,"16,353"
San Leandro,"1,321","1,149",751,861,113,416,220,"1,145",630,314,"2,363","1,346",87,140,410,381,865,"2,622",486,253,516,"2,650",327,"1,234",87,"1,850",712,79,168,"2,774",201,32,109,37,484,140,116,"3,793",437,181,85,946,218,239,109,558,118,421,134,353,"34,981"
San Francisco International Airport,327,728,269,433,698,108,14,179,195,656,996,185,768,646,51,"1,108",318,559,574,152,59,229,257,147,176,123,330,903,20,540,83,193,61,135,425,128,420,"1,720",213,218,237,74,193,349,304,63,443,80,758,40,"17,885"
South San Francisco,266,684,123,923,208,40,5,95,146,389,"1,351",86,168,101,33,453,53,875,225,51,73,91,234,106,9,44,130,210,5,991,14,41,12,14,147,25,79,"1,925",127,34,259,53,83,404,108,50,75,14,129,12,"11,773"
Union City,577,358,421,312,62,169,353,500,350,98,"1,032",558,37,88,118,116,350,889,238,108,717,754,64,940,28,527,341,12,292,909,26,5,48,14,104,37,22,"1,031",141,66,21,456,526,91,56,162,32,212,73,552,"14,993"
Walnut Creek,661,527,557,376,575,74,36,117,284,138,"1,175",144,87,"1,982",26,223,26,"1,390",182,113,28,294,100,99,436,119,635,62,23,"1,602",102,298,132,273,154,562,669,"1,619",223,575,93,64,118,531,95,44,108,17,"1,148",20,"18,936"
West Dublin/Pleasanton,80,228,76,166,9,23,52,727,102,85,536,311,6,38,571,79,295,754,44,45,64,636,94,248,1,459,85,8,46,495,18,1,99,5,32,7,18,679,48,8,14,242,491,91,15,143,13,77,9,36,"8,409"
Pittsburg/Bay Point,615,"1,107",554,999,355,71,62,69,280,300,"2,192",216,182,"1,383",16,398,44,"1,980",221,51,70,249,182,90,193,110,876,84,18,"1,804",77,296,122,74,140,142,552,"3,077",134,252,179,98,147,636,130,70,"1,045",4,196,53,"22,195"
Warm Springs/South Fremont,142,141,169,70,15,104,410,305,81,47,246,353,35,29,67,66,83,263,149,33,232,404,28,449, -   ,295,94,5,222,295,68,2,20,2,70,11,52,271,66,12,1,474,287,46,9,548,6,36,66,57,"6,936"
Entries,"37,638","53,380","30,299","51,871","18,054","15,605","7,792","31,802","29,725","47,249","88,884","34,784","16,811","26,089","9,710","37,363","20,272","77,255","40,158","16,309","15,261","52,859","25,245","23,859","7,656","28,399","32,261","11,374","5,460","76,619","10,383","6,099","4,520","5,776","35,694","8,677","17,680","128,232","31,756","10,809","14,405","16,733","34,713","21,786","11,593","15,498","17,806","8,030","22,306","7,674","1,400,213"
