Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,"1,275","8,714","1,360","7,412","4,034","5,987",,"7,306","10,295","4,517","22,176","4,982","2,805","6,748","2,472","4,590","6,360","29,971","12,747","7,682","6,227","5,204","4,273","6,340","3,546",759,"6,117","3,576",,"29,444","6,449","2,937","1,189","2,687","2,238","1,328","10,451","23,024","4,743","5,000","2,028","3,765","7,504","3,691","2,225","5,216","7,382","2,947","5,212","4,604","321,539"
16th St/Mission,"7,865","1,292","11,421","5,344","1,909","5,170",,"3,599","6,727","15,348","16,679","3,423","4,175","2,967","1,830","9,307","5,187","27,523","5,522","2,819","2,540","7,251","8,447","2,572","1,699","5,959","9,276","6,736",,"37,307","3,482","1,412",467,"1,470","9,282","1,070","3,930","36,870","4,415","4,777","3,297","1,942","3,352","5,363","3,550","2,062","2,888","1,790","2,816","2,065","316,194"
19th St/Oakland,"1,537","11,758",968,"8,264","2,900","6,261",,"4,917","11,883","3,466","24,566","3,487","1,897","6,795","1,912","3,208","5,125","35,374","10,389","6,834","5,400","4,590","3,904","4,510","3,796",906,"5,215","2,901",,"37,489","6,125","2,798",839,"2,718","1,686","1,220","8,307","24,387","4,223","4,440","1,542","3,417","5,182","2,829","1,460","4,596","7,216","2,384","3,582","4,962","314,165"
24th St/Mission,"6,692","5,573","7,621","1,572","1,165","2,994",,"1,732","5,204","12,704","25,082","2,278","3,510","1,783",653,"6,851","1,738","37,681","4,442","1,764",808,"5,081","7,045","1,349",869,"3,299","5,194","5,459",,"49,220","2,223",740,463,854,"5,726",491,"1,773","47,802","4,628","2,653","2,996","1,067","2,290","4,891","2,740",972,"1,607",854,"2,010",797,"296,940"
Antioch,"3,713","2,320","2,684","1,325",431,279,,215,"1,063",856,"6,506",837,438,"2,574",36,"1,004",76,"7,883",322,130,231,513,985,450,360,462,"2,395",400,,"7,079",120,445,458,270,428,556,"1,407","6,820",302,769,604,139,330,"2,380",443,212,"2,318",43,597,308,"64,516"
Ashby,"6,301","5,737","6,290","3,017",282,425,,796,"7,204",965,"11,885","1,259",181,542,183,729,508,"15,313","2,929","1,940",747,"2,402",878,783,171,"1,532","2,576",830,,"16,792","1,425",130,655,148,635,90,560,"10,273","2,382",311,329,485,"1,088","1,772",277,800,450,244,276,801,"116,328"
Berryessa/North San Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Fair,"7,204","3,930","5,193","1,919",197,760,,464,"2,755","1,203","11,409","2,793",278,404,984,"1,113","3,041","15,908",845,400,"3,250","4,848",898,"2,229",80,"5,788","2,129",254,,"15,716",441,141,146,102,929,83,208,"14,155",561,344,288,"1,567","2,583",860,246,"1,952",268,"1,751",198,"1,766","124,581"
Downtown Berkeley,"12,081","7,338","13,097","5,720","1,071","7,870",,"2,830","1,233","2,221","15,441","3,288",727,"2,315","1,210","2,189","2,485","20,487","18,506","16,173","2,912","6,504","2,945","2,847","1,491","4,964","8,793","2,948",,"18,931","5,179",731,"2,259","1,086","1,789",631,"3,164","16,146","10,847","1,026",813,"1,665","4,123","5,921",748,"2,889","2,581",991,"1,525","3,636","256,367"
Balboa Park,"3,755","13,773","3,033","12,440",829,844,,"1,067","1,829","1,021","26,325","1,169","2,059",972,502,"2,372","1,114","29,644","2,060",755,392,"1,906","2,946",766,265,"1,815","1,796","3,415",,"38,701",804,303,200,211,"1,954",330,975,"58,480","1,484",967,"2,624",428,"1,283","3,763","1,616",390,952,562,933,380,"236,204"
Civic Center/UN Plaza,"17,234","14,488","21,054","23,435","5,824","11,087",,"9,915","11,860","29,820","2,521","7,995","11,379","9,693","5,462","20,939","15,593","13,646","14,072","8,548","7,511","17,002","17,833","6,205","6,007","13,600","18,960","14,825",,"12,609","9,251","4,205","1,113","4,911","21,190","1,978","12,245","6,703","7,991","12,904","8,464","5,374","10,709","11,218","8,829","6,795","9,421","5,886","7,099","6,158","531,561"
Coliseum,"5,488","3,779","3,632","2,405",817,"1,329",,"2,785","3,006","1,343","8,432",501,235,840,716,"1,347","2,025","10,578","2,109",681,"1,045","4,660","1,020","2,540",134,"3,593","2,945",212,,"9,990",629,215,545,139,"1,721",474,641,"9,173","1,522",590,393,"1,516","2,184",858,307,"1,263",460,857,681,"1,215","103,570"
