Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,"1,140","8,460","1,255","7,023","3,663","5,590",,"6,702","10,801","4,060","21,624","4,888","2,612","6,271","2,074","4,894","5,614","28,497","11,391","6,723","5,613","4,852","3,981","5,795","3,241",730,"5,448","3,318",,"27,179","5,696","2,532","1,100","2,259","2,233","1,288","9,272","21,314","4,224","4,143","1,871","3,458","6,824","3,071","2,058","4,713","6,532","2,569","4,534","4,410","297,540"
16th St/Mission,"7,638","1,206","11,661","5,365","1,762","5,169",,"3,384","8,012","15,431","16,171","3,248","3,990","2,733","1,748","9,222","4,834","26,440","5,410","2,948","2,382","7,243","8,028","2,486","1,611","5,921","8,962","6,497",,"35,262","3,364","1,240",379,"1,301","9,296",951,"3,820","34,108","4,189","4,678","3,407","1,778","3,230","4,762","3,456","1,975","2,645","1,724","2,708","1,962","305,737"
19th St/Oakland,"1,383","12,028","1,105","8,364","2,722","6,096",,"4,541","12,303","3,449","24,597","3,837","1,776","6,499","1,737","3,495","4,659","34,410","9,658","6,356","5,077","4,689","3,910","4,215","3,704","1,130","5,060","2,650",,"36,136","5,908","2,609",727,"2,436","1,714","1,248","7,766","23,365","4,085","4,288","1,412","3,095","5,126","2,497","1,442","4,215","6,735","2,113","3,409","4,704","304,480"
24th St/Mission,"6,506","5,435","7,843","1,473","1,088","2,912",,"1,659","5,831","13,825","24,811","2,465","3,439","1,601",664,"7,537","1,603","35,695","4,288","1,603",806,"5,014","7,201","1,431",811,"3,409","5,063","4,944",,"45,434","2,148",718,383,771,"5,771",476,"1,665","43,883","4,441","2,640","3,069",942,"2,315","4,186","2,777",979,"1,485",814,"1,957",760,"286,571"
Antioch,"3,333","2,124","2,526","1,279",398,234,,164,"1,191",906,"5,942",834,399,"2,653",34,"1,816",80,"7,291",277,111,212,519,920,535,349,468,"2,167",356,,"6,719",116,459,408,243,409,544,"1,295","6,092",268,850,498,149,327,"2,047",385,196,"2,173",40,546,285,"61,167"
Ashby,"5,748","5,539","6,071","2,843",237,414,,776,"7,271",933,"11,499","1,325",188,523,140,"1,103",400,"14,801","2,827","1,876",633,"2,495",825,883,165,"1,829","2,311",775,,"15,828","1,450",144,516,131,631,85,526,"9,463","2,332",330,306,421,"1,022","1,312",241,694,417,201,289,774,"111,543"
Berryessa/North San Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Fair,"6,705","3,893","4,742","1,866",179,745,,473,"3,171","1,245","10,478","3,295",243,455,955,"2,092","2,961","14,554",758,329,"2,700","4,911",806,"2,360",107,"5,676","1,950",247,,"14,887",423,130,160,101,947,81,194,"13,241",512,279,242,"1,509","2,468",756,240,"1,933",263,"1,506",232,"1,927","119,927"
Downtown Berkeley,"12,585","8,282","13,679","6,270","1,231","8,044",,"3,237","1,504","2,713","16,608","3,831",864,"2,493","1,278","3,068","2,601","21,740","19,457","17,367","3,329","7,183","3,051","3,437","1,508","6,045","9,092","3,156",,"20,758","5,267",729,"1,511","1,196","2,046",635,"2,958","17,603","11,179","1,109",898,"1,838","4,326","3,329",833,"3,323","2,627",923,"1,524","4,254","272,519"
Balboa Park,"3,425","13,719","3,002","13,040",810,847,,"1,084","2,230",992,"26,311","1,295","2,034",978,502,"2,452","1,124","28,362","2,185",701,383,"2,093","3,004",714,273,"1,849","1,813","3,184",,"36,077",843,265,150,227,"2,071",357,961,"54,669","1,593","1,011","2,422",439,"1,277","3,195","1,647",379,"1,003",507,923,346,"228,768"
Civic Center/UN Plaza,"16,995","14,168","20,963","23,243","5,136","10,689",,"9,188","12,934","29,358","2,503","7,617","10,605","8,773","5,069","19,544","14,130","12,553","13,155","8,414","6,759","16,136","16,949","5,627","5,702","13,286","17,881","13,694",,"11,832","8,868","3,790","1,016","4,354","20,720","1,756","11,525","6,330","7,588","12,868","7,941","4,906","9,985","10,257","8,277","6,468","8,938","5,494","6,310","5,685","505,979"
Coliseum,"5,438","3,635","3,922","2,515",866,"1,491",,"3,357","3,473","1,464","8,169",589,258,"1,012","1,091","2,591","3,397","10,216","2,227",834,"1,292","5,076","1,123","3,325",256,"4,272","3,300",257,,"9,421",796,262,625,231,"1,885",526,692,"9,198","1,549",632,445,"1,834","2,948",836,360,"1,425",551,"1,148",852,"1,607","113,269"
Colma,"2,479","4,007","1,601","3,155",353,199,,198,846,"2,000","10,013",147,319,495,91,941,326,"17,101",521,120,108,197,"1,171",109,110,210,604,"2,168",,"20,432",144,85,50,44,380,151,235,"14,072",372,96,"1,070",134,165,"3,902",404,111,340,71,301,95,"92,243"
