Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,545,"3,731",600,"3,100","2,085","2,600",,"3,749","5,147","2,008","9,624","2,824","1,314","3,160","1,065","2,434","2,720","11,544","6,406","3,202","2,474","2,885","1,763","3,100","1,420",438,"2,663","1,256",,"11,071","2,470","1,297",438,"1,006","1,374",780,"4,470","9,242","2,306","1,788",889,"1,883","3,881","1,340","1,073","2,359","2,963","1,210","2,589","1,911","140,197"
16th St/Mission,"3,527",801,"4,732","2,513","1,190","2,128",,"1,892","2,924","8,219","8,666","1,972","2,170","1,426",796,"5,002","2,024","10,222","3,193","1,243","1,055","3,844","3,810","1,282",528,"2,571","3,725","2,506",,"13,496","1,307",617,176,492,"4,270",686,"1,657","15,221","2,648","1,634","1,624",989,"1,789","2,270","1,727",991,"1,103",574,"1,793",729,"139,754"
19th St/Oakland,668,"5,142",446,"3,524","1,669","2,586",,"2,262","5,364","1,723","10,452","2,175",824,"3,172",794,"1,653","1,926","13,772","4,966","2,862","2,229","2,485","1,799","2,253","1,576",517,"2,226","1,114",,"13,827","2,375","1,266",294,"1,159","1,070",676,"3,707","9,682","2,335","1,808",730,"1,743","2,834","1,164",747,"1,867","3,014",891,"1,900","2,111","135,379"
24th St/Mission,"2,873","2,553","3,292",765,727,"1,191",,904,"2,116","7,407","12,405","1,497","1,905",980,304,"4,157",751,"14,391","2,480",761,401,"2,910","3,379",725,366,"1,690","2,372","2,026",,"18,500",939,441,173,318,"2,815",350,760,"19,441","2,562","1,076","1,621",584,"1,208","2,051","1,480",516,685,319,"1,271",320,"132,758"
Antioch,"1,767","1,315","1,527",791,248,153,,113,582,438,"3,721",493,273,"1,663",16,763,43,"3,658",205,56,96,327,495,280,199,300,"1,318",192,,"3,322",61,349,254,136,309,373,716,"3,094",193,446,302,86,212,"1,275",225,121,"1,149",26,395,161,"34,237"
Ashby,"2,791","2,225","2,727","1,214",126,215,,444,"3,318",462,"4,834",782,88,306,88,379,216,"5,485","1,698","1,016",279,"1,402",343,468,77,789,"1,239",347,,"5,955",658,65,220,94,409,48,207,"3,944","1,359",119,178,257,736,595,107,409,204,83,190,343,"49,538"
Berryessa/North San Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Fair,"3,804","2,066","2,386","1,071",151,439,,227,"1,469",644,"6,097","1,922",155,294,533,841,"1,834","6,657",520,157,"1,840","3,171",436,"1,447",77,"3,094","1,192",159,,"7,042",268,72,91,68,665,46,126,"6,556",351,158,137,"1,065","1,566",534,143,"1,052",148,852,121,"1,057","64,801"
Downtown Berkeley,"6,017","3,182","5,920","2,305",639,"3,692",,"1,505",575,"1,103","6,625","2,007",357,"1,096",554,"1,211","1,059","7,814","9,388","7,500","1,313","3,540","1,213","1,492",508,"2,361","4,342","1,158",,"7,504","2,323",288,590,398,"1,016",353,"1,246","6,201","5,985",413,319,846,"2,063","1,443",273,"1,453","1,113",396,826,"1,648","115,173"
Balboa Park,"1,794","7,363","1,421","7,209",417,453,,626,906,701,"14,242",717,"1,173",526,225,"1,254",527,"13,552","1,130",346,174,"1,143","1,468",367,116,870,864,"1,479",,"17,515",379,129,79,100,"1,100",200,454,"26,064",874,436,"1,421",210,672,"2,070",918,191,472,195,518,190,"115,250"
Civic Center/UN Plaza,"7,919","7,530","8,544","11,228","3,270","4,357",,"5,232","5,075","15,812","1,260","4,739","5,326","4,800","2,345","10,347","5,867","4,787","7,076","3,643","2,446","9,195","7,958","3,190","2,081","5,855","7,966","5,132",,"4,170","3,255","1,915",380,"1,698","9,795","1,167","5,096","2,524","4,704","4,659","3,671","2,756","5,237","4,524","4,078","2,750","3,398","2,050","3,893","1,973","236,673"
Coliseum,"3,379","2,256","2,212","1,539",477,797,,"2,010","1,850",761,"5,032",321,166,480,476,"1,032","1,460","5,175","1,398",469,720,"3,390",625,"1,873",92,"2,246","1,998",184,,"5,032",366,148,333,110,"1,386",310,348,"4,823","1,052",319,272,"1,123","1,719",539,207,785,273,571,440,890,"63,464"
Colma,"1,285","2,170",735,"1,890",242,88,,103,369,"1,083","5,110",111,156,261,42,390,188,"7,617",334,59,74,160,563,81,45,78,331,"1,129",,"8,400",59,48,20,27,214,109,73,"6,475",205,43,585,74,104,"2,560",266,92,129,29,217,29,"44,452"
Concord,"3,247","1,745","3,114","1,215","1,692",302,,311,"1,131",623,"5,883",510,288,447,47,905,97,"7,775",402,235,224,589,654,422,"1,279",363,"1,661",330,,"7,978",217,935,357,569,335,"1,318","1,405","5,787",351,959,289,156,383,"1,689",236,156,"2,927",47,"2,275",258,"64,118"
Castro Valley,"1,055","1,028",817,317,10,130,,636,510,241,"2,654",606,50,61,111,353,"1,460","4,507",123,78,314,828,171,238,15,"1,248",273,63,,"4,781",86,14,76,20,166,6,22,"2,731",67,64,80,207,682,248,56,197,49,918,19,172,"28,558"
