Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,305,"1,158",114,831,430,587,94,785,"1,166",551,"2,261",821,260,562,72,608,119,"1,616","1,387",692,344,924,429,776,106,137,772,219,51,"1,509",384,134,47,205,540,188,536,"2,466",836,312,190,256,983,209,200,449,464,53,551,170,"28,859"
16th St/Mission,"1,078",229,"1,034",647,707,530,78,823,644,"3,287","2,656",963,"1,076",516,182,"2,543",530,"1,528","1,500",430,253,"1,809","1,376",372,128,888,"1,245",559,24,"2,090",316,150,47,133,"1,747",355,438,"3,681","1,466",312,715,325,767,566,667,286,326,176,785,93,"43,076"
19th St/Oakland,140,"1,026",143,563,501,470,128,656,758,245,"1,905",816,94,484,75,313,98,"1,509",988,437,225,720,272,528,118,91,458,127,49,"1,376",281,205,68,106,321,191,464,"1,905",685,211,149,233,623,139,129,257,289,81,472,164,"22,286"
24th St/Mission,772,708,603,233,319,339,50,522,507,"2,279","4,071",954,"1,000",534,134,"1,653",265,"2,188","1,085",223,131,"1,421","1,056",342,113,719,773,446,24,"2,510",333,120,57,111,"1,158",175,282,"4,880","1,412",178,794,414,659,404,751,239,232,104,677,67,"39,021"
Antioch,436,709,435,355,128,73,20,69,110,182,"1,411",289,192,777,8,321,64,"1,248",84,16,50,216,253,94,111,108,623,108,15,960,10,135,115,35,155,139,212,"1,072",112,179,128,46,146,320,147,51,476,7,281,72,"13,303"
Ashby,639,513,590,331,58,88,56,190,842,159,889,430,31,84,52,39,56,796,917,426,44,721,103,158,16,213,375,31,19,652,203,8,51,26,202,15,46,867,656,28,104,125,321,44,26,153,58,7,86,67,"12,611"
Berryessa/North San Jose,103,79,142,63,30,54,202,135,156,50,184,110,9,33,29,44,92,311,93,40,308,195,17,202,5,172,100,5,326,228,30,12,9,15,36,5,22,237,50,9,10,196,117,7,6,233,16,20,15,259,"4,821"
Bay Fair,913,838,594,607,56,235,95,139,378,267,"2,148","1,183",67,172,293,207,876,"1,578",264,79,673,"1,815",216,682,10,"1,179",607,41,100,"1,631",144,51,43,35,364,33,76,"1,901",166,102,65,554,"1,003",160,93,566,73,280,71,325,"24,048"
Downtown Berkeley,"1,504",652,922,506,97,935,131,374,180,199,"1,228",747,50,134,49,186,118,"1,074","2,488","1,495",121,"1,266",112,342,60,537,"1,005",137,40,751,304,30,89,36,298,72,130,"1,113","1,995",65,68,211,517,137,59,235,139,52,182,116,"23,288"
Balboa Park,538,"2,925",295,"2,302",158,130,51,329,211,175,"4,617",358,463,246,47,469,160,"2,647",524,117,67,447,364,157,58,288,238,428,31,"3,451",65,31,47,22,421,46,75,"7,064",546,75,791,113,274,553,406,93,95,52,246,68,"33,374"
