Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,182,701,128,509,302,379,,655,850,343,"1,514",614,155,411,56,314,123,915,940,380,237,664,248,447,41,91,475,71,,803,164,81,19,72,516,152,445,"1,550",659,136,113,191,754,138,115,281,249,23,397,140,"18,743"
16th St/Mission,621,168,542,423,413,240,,446,242,"1,929","2,224",684,488,272,143,"1,686",220,747,996,244,154,"1,062",858,266,38,390,585,284,,"1,129",127,109,32,78,867,268,237,"2,272",850,108,327,218,545,297,475,166,129,65,416,38,"25,118"
19th St/Oakland,124,521,99,260,287,381,,513,517,160,"1,090",668,90,325,50,160,123,773,726,282,105,445,166,348,61,56,332,48,,698,146,133,22,49,252,113,287,"1,059",485,165,93,212,567,44,99,174,195,43,298,136,"13,980"
24th St/Mission,505,474,284,187,215,128,,252,192,"1,535","2,858",545,598,325,78,"1,221",163,"1,233",637,133,92,878,705,158,31,400,412,234,,"1,538",98,74,12,44,629,103,118,"2,761",767,86,411,189,274,132,491,163,129,65,464,43,"23,064"
Antioch,270,386,237,269,84,63,,51,92,137,"1,090",204,106,501,6,151,16,581,78,27,38,86,155,54,68,72,405,58,,571,5,89,42,47,110,166,220,598,78,155,83,27,100,226,75,16,285,1,256,27,"8,462"
Ashby,455,243,343,184,46,44,,142,499,105,546,298,4,95,29,16,26,385,670,290,32,426,44,115,10,119,307,27,,367,120,14,10,34,145,18,35,506,482,29,95,100,226,26,13,132,42,10,46,34,"7,984"
Berryessa/North San Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Fair,842,468,478,306,65,149,,96,201,193,"1,502",940,45,119,277,152,661,798,224,43,488,"1,154",152,500,27,689,474,23,,899,87,22,21,44,273,25,26,"1,136",104,76,17,502,653,116,35,378,53,158,29,186,"15,906"
Downtown Berkeley,"1,123",249,635,203,86,666,,241,198,86,801,485,38,63,30,115,75,441,"1,577",974,47,736,64,210,34,263,733,38,,356,200,15,39,16,200,39,50,434,"1,205",64,39,121,322,57,7,99,55,26,107,74,"13,736"
Balboa Park,376,"1,789",119,"1,535",107,118,,214,96,116,"3,052",208,211,136,17,305,70,"1,617",293,59,37,324,296,83,22,111,116,211,,"2,056",29,21,18,7,246,28,60,"3,569",180,34,453,70,146,444,230,26,35,10,84,22,"19,406"
Civic Center/UN Plaza,"1,735","2,045","1,091","2,247",989,509,,"1,286",649,"3,096",346,"1,730",905,945,375,"2,567",913,493,"1,969",376,300,"3,259","1,436",784,167,"1,043","1,366",547,,436,337,359,23,169,"2,441",370,690,454,"1,572",323,637,545,"1,194",437,637,377,441,207,976,207,"46,000"
Coliseum,986,732,726,548,163,317,,"1,012",428,228,"1,684",152,52,105,255,176,444,"1,002",569,177,277,"1,346",196,810,23,716,767,72,,"1,175",111,63,54,18,727,92,87,"1,180",581,95,87,557,947,100,118,359,80,155,135,188,"20,872"
