Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,266,"1,132",123,834,593,565,157,853,"1,038",517,"2,065",777,267,596,43,544,121,"1,856","1,441",815,361,702,341,678,142,120,532,194,86,"1,791",330,136,69,176,463,172,622,"3,515",901,274,273,284,977,357,218,407,536,27,470,142,"29,899"
16th St/Mission,"1,181",251,"1,019",636,719,465,65,661,541,"2,566","2,228",828,"1,011",615,159,"2,207",409,"1,626","1,242",353,304,"1,700","1,160",392,135,828,"1,198",490,47,"1,898",295,149,53,206,"1,685",294,511,"4,765","1,389",273,769,489,868,559,576,259,405,176,850,64,"41,569"
19th St/Oakland,135,979,109,648,431,421,108,737,818,372,"1,856",752,120,481,57,324,85,"1,834",936,326,190,575,271,453,112,94,369,91,119,"1,619",305,159,71,112,317,188,469,"2,482",632,233,120,264,551,225,69,248,340,75,497,97,"22,876"
24th St/Mission,744,680,714,265,412,340,71,658,496,"2,133","3,617",955,977,583,121,"1,915",214,"2,083","1,592",337,201,"1,736","1,135",367,163,603,812,504,75,"2,584",277,115,66,100,"1,275",247,301,"7,207","1,421",277,847,309,800,476,783,246,309,124,706,64,"43,037"
Antioch,561,698,366,441,173,79,32,57,135,141,"1,527",296,178,869,21,257,40,"1,328",92,27,60,233,293,120,107,104,592,115,37,"1,067",22,174,118,32,111,181,273,"1,627",82,202,91,65,115,543,161,56,473,12,297,29,"14,710"
Ashby,657,450,470,333,50,79,85,155,699,146,"1,046",415,29,128,14,61,46,707,857,454,58,772,78,140,15,162,442,44,31,763,220,2,50,33,229,17,62,"1,114",592,19,95,66,245,109,21,148,43,19,64,111,"12,645"
Berryessa/North San Jose,141,83,131,84,36,100,104,193,198,43,359,187,10,72,11,68,85,284,134,43,456,365,25,297,6,238,111,1,102,182,38,12,28,16,56,19,47,393,91,18,6,224,191,21,10,260,25,53,73,392,"6,122"
Bay Fair,906,789,736,629,63,158,206,152,377,345,"2,126","1,469",92,137,289,234,"1,010","1,755",345,97,748,"2,373",177,882,23,"1,345",541,88,156,"1,833",165,44,37,64,409,37,96,"2,772",259,98,107,639,"1,081",166,85,525,125,574,75,434,"27,873"
Downtown Berkeley,"1,286",646,925,563,136,885,170,393,228,303,"1,283",757,53,184,89,256,116,"1,167","2,586","1,771",185,"1,200",197,356,73,424,"1,011",124,85,786,311,38,107,48,325,52,111,"1,446","2,034",56,57,183,517,182,67,281,125,54,261,66,"24,559"
Balboa Park,522,"2,246",372,"2,133",142,123,31,320,248,253,"4,479",340,461,236,83,407,152,"2,879",511,109,90,524,367,184,44,449,223,547,29,"3,663",80,38,41,38,526,35,68,"10,973",526,100,955,98,289,669,422,69,126,60,220,52,"37,552"
Civic Center/UN Plaza,"1,837","1,948","1,902","2,862","1,296",877,342,"1,870","1,097","4,470",335,"2,003","1,732","1,813",630,"3,347","1,292",873,"2,668",943,541,"4,244","1,759",929,368,"1,664","2,159",908,245,608,504,430,94,281,"3,607",469,"1,254",672,"1,842",649,"1,012",712,"1,693",771,"1,074",658,904,353,"1,533",142,"66,216"
Coliseum,989,899,714,955,283,396,174,"1,345",668,394,"1,999",244,66,191,214,413,575,"1,593",606,191,456,"1,692",334,919,40,865,895,103,90,"1,602",253,49,167,27,719,150,115,"3,134",694,122,128,471,"1,049",171,59,397,158,275,224,329,"28,596"
Colma,256,802,158,947,158,35,4,98,48,508,"1,606",64,90,51,13,215,52,974,200,26,42,96,351,25,12,63,116,308,9,938,36,22,2,5,116,74,53,"2,495",115,10,289,39,80,831,86,49,40,1,146,16,"12,770"
