Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,279,"1,233",124,900,520,524,182,956,"1,071",612,"2,304",932,359,784,69,564,147,"1,917","1,487",791,404,774,376,750,166,109,586,251,73,"2,009",317,180,68,193,387,165,582,"3,288",924,241,225,385,"1,113",365,219,456,584,39,583,113,"31,680"
16th St/Mission,"1,240",266,"1,102",716,785,588,150,"1,000",741,"2,875","2,355","1,041","1,129",670,204,"2,430",503,"1,822","1,591",390,281,"2,038","1,282",458,149,905,"1,445",595,65,"2,117",391,146,61,198,"1,839",340,612,"4,599","1,573",354,759,461,946,745,657,302,444,197,"1,026",108,"46,691"
19th St/Oakland,134,"1,147",139,621,532,411,193,835,842,288,"2,058",669,129,550,69,328,186,"1,913","1,087",437,198,737,330,549,183,74,437,132,89,"1,674",295,251,98,151,272,179,506,"2,356",700,223,139,345,612,227,115,353,364,82,598,154,"24,991"
24th St/Mission,729,683,691,284,399,353,119,640,650,"2,206","3,691",958,929,628,140,"1,852",336,"2,305","1,642",290,217,"1,702","1,208",351,127,723,943,563,84,"2,880",347,123,80,105,"1,365",275,364,"6,597","1,635",283,928,366,732,602,839,273,262,125,853,39,"44,516"
Antioch,547,806,498,503,141,97,39,88,127,185,"1,784",321,240,956,4,287,48,"1,477",119,27,65,301,266,123,112,128,653,159,19,"1,309",33,180,161,41,143,230,332,"1,546",87,241,171,45,125,586,168,65,489,7,238,44,"16,361"
Ashby,638,626,471,316,76,78,76,212,693,216,966,462,33,116,38,73,89,822,862,477,48,777,109,100,22,173,413,65,43,714,226,7,50,35,205,15,66,"1,085",622,39,81,102,341,99,52,180,58,4,69,94,"13,234"
Berryessa/North San Jose,195,174,198,138,34,74,136,146,266,77,408,196,10,63,18,70,134,267,162,52,492,346,37,260,9,226,147,4,144,389,32,3,36,7,56,11,43,390,82,21,10,314,230,17,9,364,26,41,47,379,"6,990"
Bay Fair,"1,141","1,057",824,664,85,248,158,200,535,388,"2,429","1,527",106,194,315,312,"1,080","2,222",385,94,758,"2,394",229,642,46,"1,499",604,61,161,"2,162",165,42,53,65,508,14,74,"2,811",190,108,136,572,"1,115",189,70,535,143,507,87,402,"30,306"
Downtown Berkeley,"1,329",803,977,640,101,944,234,513,201,282,"1,459",744,116,204,112,282,166,"1,355","2,820","1,847",184,"1,301",153,366,66,500,"1,139",173,74,962,338,63,122,49,268,33,144,"1,595","2,404",50,58,229,559,221,115,340,242,92,214,51,"27,234"
Balboa Park,561,"2,494",310,"2,201",153,196,71,370,301,255,"4,816",343,628,271,90,521,162,"2,905",572,110,88,475,421,182,49,383,318,642,21,"4,051",74,25,40,34,495,54,66,"10,258",534,65,989,137,297,707,448,92,142,78,267,53,"38,815"
Civic Center/UN Plaza,"1,946","2,082","2,024","3,054","1,453",984,359,"1,949","1,124","5,160",440,"2,248","1,946","1,790",714,"3,789","1,581",871,"3,086",877,644,"4,433","2,038",991,437,"1,921","2,357",967,197,754,681,529,105,303,"3,832",431,"1,347",548,"2,160",784,"1,196",887,"1,930","1,039","1,097",828,"1,011",456,"1,650",208,"73,238"
Coliseum,"1,061","1,097",691,"1,004",345,454,185,"1,381",692,353,"2,163",243,83,231,273,378,671,"1,800",678,226,399,"1,839",391,"1,018",64,951,837,86,83,"1,808",183,21,188,61,747,115,122,"2,780",695,159,107,592,"1,029",218,75,426,143,308,215,283,"29,952"
Colma,276,908,137,918,205,35,10,88,133,542,"1,811",55,83,82,28,214,51,"1,049",151,25,45,90,319,54,15,55,149,334,14,"1,132",18,19,3,10,123,98,74,"2,571",146,28,350,49,77,787,111,69,54,7,165,34,"13,801"
Concord,685,742,562,675,883,88,70,200,206,313,"2,131",254,93,260,35,204,68,"1,853",236,112,81,292,313,153,803,138,578,174,40,"1,659",91,222,104,336,155,813,540,"2,695",204,378,170,99,157,523,133,75,"1,537",33,"1,139",29,"23,334"
Castro Valley,78,295,62,156,4,38,11,292,94,105,688,339,28,44,62,80,731,878,29,39,126,423,58,73,5,489,70,20,29,854,22,1,35,20,100,4,4,972,32,16,43,94,352,73,21,101,19,530,22,29,"8,690"
Daly City,480,"2,463",301,"1,952",306,94,47,281,265,616,"4,118",413,170,170,40,225,277,"2,798",440,93,95,514,487,151,39,325,273,707,54,"3,034",153,62,44,34,363,89,128,"7,522",337,68,734,77,336,"1,062",384,113,212,66,239,72,"33,323"
Dublin/Pleasanton,168,567,187,375,33,88,122,"1,075",188,174,"1,708",646,48,82,645,364,231,"1,737",213,26,248,"1,496",131,344,6,667,274,45,111,"1,521",26,10,233,4,216,16,23,"1,722",104,46,66,273,602,409,47,258,40,204,43,75,"17,937"
Embarcadero,"2,390","1,875","2,110","2,621","1,815","1,013",343,"2,536","1,524","3,488",926,"2,034","1,040","2,175","1,013","2,872","2,073",357,"3,381","1,096",832,"3,631","1,662","1,327",608,"2,040","2,094",386,127,223,804,549,184,542,"4,906",468,"2,066",837,"2,593",989,622,"1,089","2,842",613,741,891,"1,404",683,"1,990",200,"74,625"
El Cerrito del Norte,"1,452","1,851","1,034","1,660",117,754,145,336,"2,580",595,"3,910",732,251,241,44,411,185,"3,288",193,433,249,972,541,309,76,461,"1,276",246,112,"2,948",439,38,177,64,359,68,117,"5,118",804,150,288,221,480,527,197,221,217,56,184,196,"37,323"
El Cerrito Plaza,786,488,495,355,30,471,44,93,"1,740",155,920,196,39,135,43,82,33,"1,125",465,83,68,459,70,88,52,210,578,90,34,"1,146",309,21,47,36,118,31,52,"1,449",733,65,42,109,231,202,44,130,92,23,61,34,"14,402"
Fremont,365,351,250,197,60,56,419,684,164,120,715,459,47,68,150,86,234,709,254,73,146,816,64,"1,165",13,405,312,33,372,654,66,6,67,24,92,30,78,750,145,27,77,781,527,96,22,"1,344",42,47,66,280,"14,008"
Fruitvale,845,"2,160",771,"1,818",321,784,349,"2,291","1,240",480,"4,298","1,951",89,262,583,448,"1,489","3,124",846,433,764,341,481,"1,501",145,877,953,124,239,"2,750",477,29,99,310,894,133,130,"5,312",901,345,219,923,"2,316",215,74,667,282,679,210,513,"47,485"
Glen Park,395,"1,212",349,"1,267",221,112,32,202,211,438,"1,943",471,312,245,61,451,128,"1,539",485,88,63,480,198,223,31,243,285,281,23,"2,312",96,45,30,35,267,86,172,"3,897",375,112,456,82,254,333,214,48,96,49,176,34,"21,158"
Hayward,770,495,650,388,145,144,245,680,323,204,"1,078",954,69,144,90,165,430,"1,061",346,97,"1,202","1,552",256,122,41,717,341,103,318,909,136,11,47,16,286,51,82,"1,495",234,128,66,596,"1,021",132,41,"1,020",91,166,67,523,"20,248"
Lafayette,186,133,194,136,99,14,3,38,81,60,498,80,8,958,5,48,5,505,65,34,5,127,30,23,49,41,211,26,13,728,15,73,50,57,37,87,358,471,52,158,11,15,96,169,2,32,380,1,240,1,"6,708"
Lake Merritt,164,968,76,709,141,232,191,"1,522",351,390,"2,195","1,179",28,131,503,317,830,"1,916",458,226,439,"1,083",280,854,18,143,260,42,165,"1,770",145,45,128,23,236,50,93,"2,947",312,131,44,533,"1,679",129,56,458,98,407,117,291,"25,503"
MacArthur,639,"1,429",509,825,594,426,126,528,947,364,"2,439",809,184,598,60,320,226,"1,962","1,315",558,244,"1,145",305,330,131,192,203,108,125,"1,555",349,150,75,135,406,456,490,"2,451","1,183",199,92,321,610,343,70,247,524,66,697,132,"28,192"
Millbrae,200,597,163,466,123,68,3,78,210,604,933,88,362,150,9,762,44,359,234,78,29,111,217,123,31,49,103,144,4,691,22,8,15,20,143,7,37,884,177,30,184,33,66,938,131,11,36,12,68,3,"9,858"
Milpitas,99,74,94,71,11,45,129,168,80,26,227,102,35,33,27,55,93,136,104,26,398,188,30,276,2,125,125,8,88,230,34,1,30, -   ,30,15,13,178,82,3,19,222,111,25,4,234,7,39,24,267,"4,443"
Montgomery St,"2,365","2,414","2,181","3,406","1,557",947,403,"2,609","1,181","7,044",857,"2,269","1,632","2,081",977,"3,647","1,673",279,"3,574","1,126",762,"3,555","2,644","1,129",718,"2,086","1,830",724,246,287,754,676,134,608,"4,318",479,"1,633",386,"2,729",728,"1,199","1,128","3,138",807,"1,014","1,040","1,446",447,"2,261",320,"81,448"
North Berkeley,331,335,294,352,24,252,23,110,325,80,718,216,19,59,32,127,44,644,465,328,72,491,91,143,14,143,357,19,24,605,89,17,50,27,52,28,77,616,548,20,13,33,204,106,13,30,94,7,72,68,"8,901"
North Concord/Martinez,150,159,221,154,142,5,7,52,60,37,571,18,20,177,3,59,8,403,35,27,10,31,58,19,32,45,109,14,2,528,21,27,61,15,27,176,103,621,14,57,20,9,27,227,66,2,190,2,258,6,"5,085"
Oakland International Airport,69,48,55,46,106,28,20,27,103,59,106,117,6,98,18,35,173,123,115,34,56,83,29,29,36,64,57,3,15,92,32,33,17,10,38,18,116,151,80,18,10,38,58,119,12,24,72,45,88,12,"2,841"
Orinda,221,211,141,89,39,31,10,53,38,47,351,47,11,274,7,37,4,502,53,35,23,255,21,15,57,16,129,21,2,582,17,24,40,33,8,55,173,382,72,121,27,5,42,107,4,15,260, -   ,72,1,"4,780"
West Oakland,488,"1,776",263,"1,257",170,160,33,477,239,479,"3,706",730,108,169,102,359,229,"4,548",273,119,77,896,295,250,20,163,377,125,28,"3,647",50,28,73,11,192,59,74,"5,256",244,121,220,209,386,434,152,104,109,39,122,70,"29,516"
Pittsburg Center,161,246,179,251,289,29,13,34,42,86,467,84,49,797,5,90,16,459,53,57,18,147,130,58,94,22,449,30,14,372,21,105,31,65,69,70,310,688,108,121,78,33,133,134,50,23,405,4,148,10,"7,347"
Pleasant Hill/Contra Costa Centre,591,610,562,337,264,61,37,64,185,59,"1,522",135,67,580,11,138,40,"1,790",119,72,73,109,203,44,313,116,535,47,12,"1,505",48,132,151,175,109,380,123,"1,950",35,355,122,21,90,379,75,19,462,24,601,31,"15,483"
Powell St,"2,814","3,799","1,979","5,684","1,401",920,292,"2,420","1,271","8,416",699,"2,337","2,120","2,284",835,"5,867","1,546",952,"3,927","1,222",663,"4,192","3,682","1,236",416,"2,471","1,968",869,163,344,496,541,200,311,"4,813",688,"1,681",594,"2,983",713,"1,288",877,"2,731","1,589","1,419",687,"1,115",560,"2,094",172,"92,341"
Richmond,916,"1,701",700,"1,738",70,642,68,212,"2,061",569,"2,337",759,170,191,38,345,113,"2,132",690,627,121,919,478,244,45,346,952,154,57,"1,972",563,16,105,56,248,170,68,"3,334",209,139,282,191,360,276,123,83,159,41,135,43,"27,968"
Rockridge,293,381,273,249,203,37,31,105,68,73,804,138,29,345,6,88,52,905,123,108,31,350,101,103,190,98,198,47,2,729,37,90,28,204,117,110,452,930,200,89,46,36,192,197,40,49,451,6,272,14,"9,720"
San Bruno,203,890,143,916,155,82,11,113,63,"1,049","1,208",108,303,197,33,861,66,598,262,42,73,187,461,47,9,91,91,177,43,965,13,47,10,20,179,66,98,"1,535",272,65,110,84,86,339,233,18,68,7,174,3,"12,874"
South Hayward,431,394,344,348,77,75,314,627,219,135,"1,031",520,70,102,113,82,250,904,209,110,762,773,86,515,20,442,350,42,220,983,45,8,38,18,247,17,29,"1,081",199,34,50,94,639,69,53,442,65,179,75,514,"14,444"
San Leandro,"1,198","1,050",634,718,134,379,184,"1,040",544,297,"2,253","1,133",84,135,356,349,670,"2,385",463,203,457,"2,512",308,954,96,"1,729",609,77,100,"2,526",185,13,105,43,508,124,105,"3,122",382,199,67,821,195,239,95,521,101,355,121,291,"31,169"
San Francisco International Airport,254,550,180,387,573,83,7,130,173,648,797,166,653,502,55,866,277,397,441,163,53,151,226,122,169,106,283,768,14,528,69,170,79,107,323,97,351,"1,252",187,150,234,35,165,303,287,52,342,74,602,31,"14,632"
South San Francisco,242,689,100,848,189,53,6,101,104,352,"1,205",73,140,133,22,413,52,807,198,33,19,95,189,64,3,66,90,185,4,821,14,44,12,5,166,32,89,"1,658",113,28,199,41,68,430,88,36,73,4,108,5,"10,509"
Union City,461,319,399,270,47,178,308,523,324,88,971,506,21,78,80,110,279,727,199,99,684,628,44,792,14,445,286,17,254,801,41,2,64,10,84,26,20,893,113,42,19,450,536,80,50,140,32,192,58,560,"13,364"
Walnut Creek,588,430,423,323,557,68,25,129,263,128,"1,052",153,74,"1,817",17,202,29,"1,230",182,100,39,216,102,87,340,105,511,25,18,"1,299",89,276,107,175,139,493,576,"1,291",172,552,55,42,84,411,84,38,106,14,898,19,"16,153"
West Dublin/Pleasanton,97,174,99,144,6,21,37,612,73,70,517,314,10,36,503,70,289,632,47,25,70,588,78,169, -   ,384,61,10,42,470,10,6,88,5,46,3,10,581,38,8,8,192,388,94,4,146,11,61,9,31,"7,387"
Pittsburg/Bay Point,578,"1,003",532,896,319,80,47,65,187,282,"2,098",163,164,"1,171",24,343,70,"1,648",220,53,66,243,178,67,147,92,796,61,22,"1,649",75,228,115,93,134,99,579,"2,739",161,260,126,84,106,576,118,63,833,5,182,62,"19,902"
