Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,288,"1,156",161,882,522,511,185,935,"1,063",614,"2,304",890,287,799,73,608,155,"1,937","1,526",755,379,783,417,706,102,134,602,223,84,"1,755",309,111,85,194,408,233,546,"3,068",944,269,238,394,"1,112",290,205,453,533,32,577,104,"30,941"
16th St/Mission,"1,194",223,"1,195",690,810,509,172,963,760,"2,790","2,571","1,001","1,102",640,193,"2,499",479,"1,803","1,535",365,267,"1,968","1,179",500,143,931,"1,371",588,45,"2,224",346,177,60,147,"1,782",301,615,"4,137","1,605",292,753,403,951,741,650,288,381,201,967,103,"45,610"
19th St/Oakland,163,"1,157",138,624,489,445,178,768,818,334,"1,943",743,114,574,69,357,189,"1,786","1,015",426,230,801,315,579,176,107,483,132,78,"1,686",281,221,93,148,333,175,547,"2,292",703,261,135,332,600,224,152,274,349,69,507,137,"24,750"
24th St/Mission,796,773,633,243,363,293,135,557,607,"2,125","3,727",957,973,615,114,"1,690",284,"2,122","1,391",281,178,"1,547","1,161",349,135,717,883,575,72,"2,618",363,127,88,88,"1,257",277,305,"6,049","1,646",238,814,386,681,562,888,229,255,106,734,32,"42,039"
Antioch,500,783,466,377,142,76,32,111,110,155,"1,640",287,192,863,19,277,54,"1,361",91,26,64,231,283,90,154,115,562,120,17,"1,085",18,129,196,57,119,222,269,"1,264",82,287,160,62,144,506,157,65,420,11,220,46,"14,717"
Ashby,586,566,495,288,57,85,84,203,795,180,"1,068",445,47,116,61,63,75,836,"1,012",432,43,849,119,130,31,181,430,65,26,630,251,8,80,42,207,15,40,"1,051",718,39,81,103,314,88,20,174,75,12,69,79,"13,464"
Berryessa/North San Jose,208,180,193,126,38,105,154,135,244,74,345,240,8,76,27,74,148,306,175,51,456,375,51,283,10,216,139, -   ,109,357,27,10,27,14,64,16,33,345,77,20,4,275,200,14,10,327,34,37,34,351,"6,822"
Bay Fair,"1,136","1,045",722,616,89,213,157,192,524,364,"2,294","1,509",107,216,282,249,"1,029","1,966",351,110,786,"2,290",213,725,28,"1,394",658,64,124,"2,103",168,56,74,53,488,24,83,"2,461",221,107,94,535,"1,216",196,68,540,143,444,98,317,"28,942"
Downtown Berkeley,"1,439",793,"1,023",665,102,976,238,477,196,319,"1,396",823,114,182,96,286,119,"1,241","2,638","2,073",170,"1,345",152,345,70,497,"1,052",190,74,850,351,45,128,48,358,46,126,"1,375","2,422",92,78,215,488,244,120,348,204,65,240,64,"26,998"
Balboa Park,546,"2,558",346,"2,180",150,169,75,326,313,214,"4,750",374,515,218,79,527,175,"2,884",583,136,66,519,487,178,34,331,311,566,24,"3,792",74,22,56,31,457,61,82,"9,066",547,59,884,123,256,693,444,96,138,101,315,46,"36,977"
Civic Center/UN Plaza,"1,961","2,086","2,023","2,927","1,365",932,329,"1,893","1,135","4,999",412,"1,955","1,734","1,816",677,"3,746","1,413","1,030","2,893",792,685,"4,210","2,054","1,010",426,"1,880","2,187",906,183,720,555,479,104,242,"3,588",483,"1,284",535,"2,007",716,"1,008",818,"1,723",939,995,756,847,508,"1,559",177,"69,702"
Coliseum,"1,120","1,103",689,994,307,445,205,"1,456",720,371,"1,952",159,63,182,285,318,599,"1,723",774,193,453,"1,952",415,895,58,"1,007",916,74,100,"1,782",187,15,171,56,773,121,164,"2,371",653,164,107,586,"1,081",178,97,419,178,234,258,296,"29,419"
