Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,315,"1,228",131,880,551,526,185,910,"1,125",631,"2,329",911,322,738,86,644,115,"1,919","1,540",782,421,873,404,796,139,138,616,229,78,"1,767",342,141,90,249,478,217,625,"3,168",871,292,274,378,"1,134",276,249,494,476,42,583,106,"31,814"
16th St/Mission,"1,235",236,"1,103",632,885,506,160,970,720,"3,109","2,450","1,073","1,141",666,185,"2,607",540,"1,575","1,612",378,283,"1,793","1,322",454,141,973,"1,302",643,57,"2,221",337,158,59,164,"1,726",308,499,"4,454","1,612",337,802,388,866,635,793,269,347,220,881,100,"45,927"
19th St/Oakland,131,"1,098",144,620,499,431,199,811,774,309,"2,006",763,129,551,88,374,152,"1,780","1,156",457,249,743,343,576,149,90,457,169,82,"1,717",271,244,88,126,315,208,580,"2,438",739,216,158,308,670,196,154,277,354,69,527,113,"25,098"
24th St/Mission,816,729,644,245,365,301,103,606,622,"2,281","3,718",971,"1,045",508,166,"1,717",247,"2,428","1,341",249,157,"1,428","1,146",382,157,742,859,598,48,"2,743",281,170,63,109,"1,222",206,327,"6,182","1,566",219,867,348,695,526,872,256,257,92,781,50,"42,451"
Antioch,483,795,437,350,132,77,26,93,88,172,"1,464",345,210,833,8,324,44,"1,345",88,24,61,201,257,86,141,87,553,138,15,"1,065",9,141,138,43,126,208,265,"1,211",93,230,134,45,128,449,162,64,409,10,240,53,"14,100"
Ashby,556,499,485,334,59,71,108,234,775,205,"1,043",419,31,106,69,82,54,921,"1,046",486,48,788,113,177,34,205,379,61,14,759,195,15,67,31,212,13,36,"1,137",739,29,95,119,319,87,39,163,82,11,95,80,"13,725"
Berryessa/North San Jose,185,161,217,116,42,121,151,163,244,60,287,205,25,87,23,96,162,325,157,63,516,334,49,328,8,238,167,5,121,371,31,8,26,15,78,16,45,419,91,16,8,277,214,18,12,390,43,37,43,405,"7,219"
Bay Fair,"1,168",976,736,652,56,246,158,174,477,312,"2,243","1,335",85,190,336,236,"1,070","1,941",293,89,896,"2,193",236,806,11,"1,391",599,62,141,"1,983",137,41,74,54,448,40,65,"2,424",197,106,108,690,"1,198",191,78,603,94,467,90,266,"28,462"
Downtown Berkeley,"1,534",836,978,613,90,"1,011",206,406,218,274,"1,350",837,86,169,88,222,130,"1,226","2,611","1,795",198,"1,450",120,431,60,547,"1,060",176,66,927,318,44,106,77,305,59,148,"1,320","2,366",59,73,224,552,214,106,308,211,56,218,91,"26,570"
Balboa Park,594,"2,810",351,"2,211",150,191,49,326,285,231,"4,608",343,603,248,62,578,170,"2,960",566,132,95,512,445,228,41,337,251,595,33,"3,880",90,29,62,45,516,60,62,"9,640",588,82,905,107,276,593,496,82,114,72,269,69,"38,042"
Civic Center/UN Plaza,"2,016","2,126","2,042","3,126","1,348",972,271,"1,940","1,109","5,129",381,"2,125","1,868","1,778",666,"3,893","1,465",946,"3,001",808,729,"4,431","2,173","1,155",398,"2,002","2,169","1,062",160,770,571,484,131,278,"3,543",502,"1,344",554,"2,293",732,"1,074",951,"1,752",909,987,834,842,510,"1,680",198,"72,228"
Coliseum,"1,165","1,224",792,"1,044",362,428,202,"1,377",722,383,"2,113",187,78,212,505,290,616,"1,854",827,214,494,"2,040",383,944,63,"1,110",975,84,111,"1,757",226,35,187,62,791,109,173,"2,521",819,215,142,734,"1,058",159,76,435,147,222,253,356,"31,276"
Colma,259,957,144,971,235,43,16,85,80,565,"1,825",88,76,63,28,218,49,977,202,28,39,102,362,58,24,70,94,459,5,"1,110",38,17,5,6,93,90,39,"2,668",130,17,381,75,85,839,114,89,25,14,156,24,"14,137"
Concord,743,737,549,551,802,118,105,159,154,258,"1,957",266,76,209,14,223,61,"1,764",232,107,66,321,306,165,858,158,731,131,29,"1,694",57,294,104,247,139,877,592,"2,340",228,342,185,98,161,447,127,69,"1,464",14,"1,241",15,"22,585"
Castro Valley,80,265,76,183,6,69,21,361,70,89,655,300,40,7,60,71,677,761,51,44,123,589,66,127,7,466,59,14,19,736,13,2,36,8,102,8,25,936,24,7,39,139,414,78,18,73,43,450,5,37,"8,549"
Daly City,574,"2,641",362,"1,874",331,101,60,215,218,623,"4,135",304,247,172,68,237,273,"2,813",409,86,82,468,437,181,33,333,257,632,60,"3,290",128,58,53,39,462,78,119,"7,075",315,61,743,103,278,883,381,153,249,90,244,65,"33,093"
Dublin/Pleasanton,185,547,185,299,23,71,160,"1,009",141,190,"1,584",622,62,62,645,328,160,"1,680",219,37,290,"1,410",135,422,21,775,271,40,70,"1,578",42,17,200,12,229,19,53,"1,689",94,33,52,262,556,284,42,265,62,205,36,93,"17,466"
Embarcadero,"2,257","1,839","1,991","2,558","1,661","1,027",353,"2,065","1,253","3,385",982,"2,115","1,015","1,967",966,"2,819","2,028",281,"3,369","1,000",745,"3,643","1,763","1,284",610,"2,035","2,085",367,188,166,821,510,171,456,"4,619",510,"2,066",754,"2,559","1,041",595,"1,037","2,772",517,767,768,"1,248",600,"1,874",247,"71,749"
El Cerrito del Norte,"1,496","1,787","1,093","1,458",109,895,120,300,"2,341",608,"3,506",804,284,265,55,423,189,"3,445",230,553,269,"1,014",485,287,52,552,"1,336",231,105,"2,949",496,55,137,63,345,64,122,"4,630",904,143,232,227,476,476,228,278,227,39,178,143,"36,704"
El Cerrito Plaza,783,378,543,299,32,523,52,101,"1,572",131,985,208,35,127,36,59,41,"1,067",587,70,68,471,86,91,40,144,501,101,30,934,313,25,60,41,146,51,59,"1,214",750,80,64,90,209,145,33,128,76,19,53,42,"13,693"
Fremont,410,330,302,190,73,76,445,757,194,99,769,530,57,65,136,114,256,580,271,73,134,855,76,"1,193",26,422,316,22,397,667,67,17,62,29,102,34,74,714,181,25,60,827,614,64,28,"1,634",24,70,57,346,"14,864"
Fruitvale,"1,151","2,001",811,"1,613",225,808,325,"2,246","1,292",507,"4,237","2,207",93,272,688,371,"1,439","3,196",939,468,801,397,487,"1,752",157,"1,096","1,096",105,129,"2,545",545,63,132,249,"1,019",103,183,"5,463",984,364,189,"1,055","2,327",190,97,643,255,593,200,431,"48,539"
Glen Park,407,"1,227",367,"1,077",238,102,34,197,184,438,"2,075",402,319,268,65,430,119,"1,548",502,77,28,439,164,229,45,253,354,233,39,"2,264",95,50,38,37,314,95,188,"3,790",378,97,477,102,209,252,181,92,106,74,231,37,"20,967"
Hayward,838,488,692,422,82,195,300,813,366,214,"1,214",947,66,165,128,175,509,"1,059",356,72,"1,243","1,790",213,119,44,725,514,80,208,921,177,12,53,16,292,56,82,"1,572",231,130,60,762,"1,079",93,31,"1,073",108,131,93,567,"21,576"
Lafayette,131,127,161,173,132,40,5,25,64,54,420,68,20,"1,051",2,28,23,516,55,44,9,197,25,28,37,43,196,28,18,519,5,55,53,71,42,39,364,409,56,155,13,20,69,126,5,20,433,1,303,1,"6,479"
Lake Merritt,160,"1,047",85,715,94,223,222,"1,289",419,408,"2,156","1,310",38,142,501,342,898,"1,976",446,161,452,"1,237",267,809,28,151,276,37,147,"1,805",163,31,145,24,299,52,86,"2,881",319,90,68,601,"1,799",99,41,474,88,397,93,263,"25,854"
MacArthur,722,"1,335",447,790,623,423,152,595,853,330,"2,152",985,127,702,83,254,242,"1,976","1,334",537,286,"1,265",387,495,160,224,240,134,89,"1,547",371,110,99,116,330,450,488,"2,372","1,176",251,98,335,638,268,80,267,581,67,692,93,"28,371"
Millbrae,198,598,171,491,124,62,2,62,189,617,929,72,450,129,5,749,43,372,245,103,17,117,160,132,37,70,144,159,3,647,24,9,9,13,119,18,41,976,179,43,142,43,67,852,178,26,36,13,57,10,"9,952"
Milpitas,102,54,93,38,14,20,116,156,66,37,184,103,17,25,17,69,72,200,106,34,331,130,33,223,9,124,93,2,69,261,42,4,26,4,33,8,12,220,70,3,21,178,96,9,7,214,8,12,31,210,"4,006"
Montgomery St,"2,128","2,364","2,078","3,310","1,301",924,383,"2,216",985,"6,564",867,"2,184","1,668","2,019",905,"3,781","1,789",203,"3,411",980,756,"3,348","2,548","1,191",515,"2,087","1,761",748,282,244,568,648,114,598,"3,992",423,"1,576",395,"2,597",748,931,"1,120","2,697",554,887,"1,040","1,222",467,"2,147",309,"76,573"
North Berkeley,389,410,310,300,6,207,35,99,269,84,575,192,39,42,34,110,47,664,495,348,59,583,86,177,9,180,329,12,31,449,61,10,55,22,68,3,94,655,643,20,20,26,230,107,39,50,85,12,72,70,"8,912"
North Concord/Martinez,113,178,208,176,109,14,5,45,37,40,466,34,23,293,23,64,8,412,50,27,11,55,59,7,43,22,88,8,3,578,18,37,37,5,14,111,125,637,22,82,24,13,35,181,42,10,128,3,158,5,"4,886"
Oakland International Airport,75,60,54,63,84,37,12,39,71,77,110,111,2,95,19,35,137,128,127,27,53,78,27,26,22,67,62,9,18,86,36,25,17,8,31,9,122,182,39,17,13,51,42,68,11,26,79,49,101,16,"2,753"
Orinda,267,169,152,109,40,33,8,55,65,40,325,40,7,199,13,38,10,382,66,48,27,236,29,14,62,18,156,25,2,573,29,9,30,40,15,60,238,298,80,140,7,12,30,92,8,7,282,7,91,1,"4,684"
West Oakland,526,"1,623",234,"1,230",158,146,59,405,249,479,"3,393",845,128,151,118,446,210,"4,541",255,139,113,"1,030",324,256,26,235,285,133,28,"3,431",42,46,57,17,169,67,88,"4,879",226,161,217,250,432,324,167,109,124,40,147,48,"28,806"
Pittsburg Center,221,234,204,197,263,20,14,17,33,67,555,115,38,834,4,93,11,391,58,54,21,158,122,55,74,47,456,19,6,285,8,102,24,57,74,66,273,613,120,141,97,42,93,71,33,35,474,3,163,10,"7,165"
Pleasant Hill/Contra Costa Centre,614,542,546,300,220,44,45,73,168,75,"1,475",178,43,688,6,159,43,"1,793",107,83,63,168,211,45,317,108,565,37,10,"1,509",60,189,141,236,82,334,132,"1,826",84,396,151,30,59,378,73,52,469,3,543,33,"15,506"
Powell St,"2,783","3,750","2,103","5,409","1,104","1,007",307,"2,099","1,169","8,040",728,"2,209","2,171","1,941",807,"5,883","1,459",788,"3,717",984,620,"4,493","3,443","1,322",367,"2,430","2,001",828,187,316,605,614,200,250,"4,904",607,"1,555",522,"2,937",575,"1,258",893,"2,467","1,094","1,442",555,"1,034",489,"2,022",153,"88,641"
Richmond,823,"1,685",726,"1,671",73,667,69,222,"2,048",563,"2,467",863,179,209,30,331,93,"2,217",816,745,159,995,494,222,36,316,"1,074",168,79,"1,876",621,40,71,60,300,146,64,"3,314",214,100,307,191,362,204,164,105,152,29,197,78,"28,635"
Rockridge,333,333,265,213,213,29,21,96,63,98,720,170,28,301,8,69,49,889,114,94,22,402,107,140,159,107,195,61,5,729,44,90,42,208,168,131,416,771,159,85,25,27,205,142,45,32,523,3,326,13,"9,488"
San Bruno,248,849,180,887,153,92,6,124,54,"1,070","1,097",107,335,220,44,838,56,586,244,75,87,215,476,58,10,79,122,191,38,831,18,20,11,12,156,89,129,"1,463",312,42,87,76,82,280,208,58,68,6,219,2,"12,710"
South Hayward,431,345,297,340,70,67,226,731,230,132,"1,067",642,102,136,164,104,236,852,221,99,803,932,104,659,19,562,336,51,187,"1,015",23,16,61,17,245,21,23,"1,086",200,23,74,127,794,67,57,430,65,217,94,452,"15,252"
San Leandro,"1,298",946,752,722,139,336,179,"1,062",549,271,"1,981","1,141",131,164,381,332,634,"2,307",461,178,518,"2,369",207,996,73,"1,710",590,80,96,"2,232",184,26,82,78,520,91,75,"2,768",330,198,61,"1,010",135,236,79,655,91,341,86,258,"30,139"
San Francisco International Airport,232,482,185,373,533,63,7,134,183,618,727,109,640,426,72,745,212,364,386,95,32,130,190,71,85,93,206,639,5,339,86,145,50,83,336,77,330,925,181,96,260,37,210,212,279,60,272,44,481,27,"12,567"
South San Francisco,238,795,146,755,186,34,9,85,95,439,"1,075",67,189,124,23,335,39,873,236,18,24,106,150,55,3,51,95,215,7,705,42,20,3,9,176,28,90,"1,631",132,28,180,64,74,342,98,46,43,6,91,3,"10,278"
Union City,507,287,307,267,64,145,341,581,313,75,984,512,49,89,94,124,308,643,256,117,729,660,102,848,19,424,294,25,200,745,55,9,40,8,70,29,45,745,109,32,54,404,641,63,57,88,72,175,53,502,"13,360"
Walnut Creek,542,371,394,274,509,61,30,89,210,129,866,162,37,"1,804",30,246,62,"1,154",182,89,37,270,101,142,347,94,577,32,12,"1,044",91,251,104,229,122,499,542,"1,264",153,555,70,59,84,340,65,49,102,6,879,11,"15,372"
West Dublin/Pleasanton,80,219,92,117,13,21,40,574,54,79,566,258,25,43,540,95,252,554,27,19,65,610,92,155,1,363,71,18,12,419,13,4,79,4,23,2,6,524,23,6,12,193,393,51,6,156,16,76,8,39,"7,108"
Pittsburg/Bay Point,629,859,442,873,312,99,43,64,199,271,"2,066",186,176,"1,347",8,323,48,"1,596",194,40,60,198,215,89,303,82,763,32,28,"1,636",66,164,106,108,194,153,593,"2,602",143,251,204,104,97,446,80,75,857,6,197,50,"19,677"
Warm Springs/South Fremont,100,92,145,40,38,72,352,209,94,82,184,359,23,11,60,74,104,216,132,33,291,372,48,425, -   ,233,87,4,162,244,89,3,16,4,23,23,37,171,55,3,7,392,237,42,4,424,6,34,52,72,"5,980"
