Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,298,"1,010",150,732,527,491,152,736,874,515,"1,937",745,218,504,44,531,121,"1,679","1,414",778,347,608,285,611,120,125,549,224,68,"1,682",264,122,57,160,439,177,582,"3,218",820,248,201,253,"1,001",332,215,407,452,28,406,130,"27,587"
16th St/Mission,"1,087",235,"1,058",587,630,486,95,698,596,"2,467","1,996",808,993,604,159,"2,011",411,"1,527","1,436",335,242,"1,576","1,074",481,123,902,"1,148",439,60,"1,666",328,130,55,152,"1,621",280,453,"3,866","1,085",326,588,423,817,550,541,223,380,151,851,84,"38,834"
19th St/Oakland,126,"1,113",120,577,386,393,98,584,851,354,"1,930",656,81,460,58,304,79,"1,808",888,413,190,546,286,422,93,105,327,101,116,"1,514",270,164,59,104,285,134,487,"2,246",509,201,117,220,503,227,64,237,256,75,492,89,"21,718"
24th St/Mission,714,696,644,320,404,369,90,575,524,"1,992","3,252",852,859,611,126,"1,842",188,"1,953","1,507",321,151,"1,584",968,318,122,593,776,485,59,"2,511",305,140,69,79,"1,244",253,282,"6,285","1,185",186,826,340,680,462,730,229,268,124,676,55,"39,824"
Antioch,468,570,327,378,155,57,35,56,124,145,"1,333",250,150,756,5,224,37,"1,121",55,19,53,172,266,87,99,113,509,112,17,918,17,132,112,40,111,181,208,"1,284",64,164,88,75,121,455,125,54,373,13,228,25,"12,481"
Ashby,595,437,472,318,74,99,71,179,688,154,"1,022",387,22,143,12,64,38,743,909,379,52,714,94,132,16,166,383,54,45,709,175,5,56,10,207,16,85,"1,059",480,35,94,74,251,104,24,150,34,19,48,105,"12,202"
Berryessa/North San Jose,122,98,105,118,45,104,97,175,184,65,330,176,8,92,10,50,97,255,166,46,395,333,23,276,5,209,103,2,114,190,30,5,18,13,61,12,47,391,56,22,2,257,167,27,6,259,31,28,36,304,"5,765"
Bay Fair,846,821,566,557,38,169,161,168,442,319,"2,034","1,193",78,156,229,203,962,"1,615",318,103,726,"2,142",182,754,29,"1,206",520,72,153,"1,718",144,39,43,67,397,45,63,"2,592",198,50,105,553,960,149,75,508,127,472,75,387,"25,529"
Downtown Berkeley,"1,204",675,995,537,130,853,166,409,233,282,"1,268",723,58,166,109,231,139,"1,208","2,551","1,753",177,"1,104",204,352,71,419,930,129,93,792,317,43,177,39,344,70,116,"1,409","1,700",54,66,180,494,346,58,309,193,55,213,86,"24,230"
Balboa Park,501,"2,139",365,"1,908",171,99,42,259,267,228,"4,070",332,377,239,75,429,148,"2,830",547,114,102,412,322,160,42,423,280,530,30,"3,481",50,22,43,40,472,49,67,"9,951",410,54,826,123,230,640,324,88,144,59,214,55,"34,783"
