Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont, Exits 
12th St/Oakland City Center,559,"2,302",342,"1,995","1,165","1,060",438,"1,375","2,830","1,053","5,377","1,439",436,"1,403",200,"1,201",630,"5,919","2,757","1,629",832,"1,223",938,"1,325",541,225,"1,570",402,290,"4,653",966,320,317,428,776,317,"1,277","7,771","1,579",939,422,701,"1,820","1,402",405,925,"1,313",178,942,463,"69,370"
16th St/Mission,"2,351",899,"3,291","1,945","1,158","1,441",340,"1,175","2,206","4,935","5,048","1,224","1,974","1,135",601,"4,162","1,157","5,766","2,118",965,586,"2,859","3,034",795,587,"2,088","3,165","1,329",273,"5,960","1,224",346,270,468,"3,677",472,996,"12,771","2,164","1,581","1,675",477,"1,424","3,127","1,322",543,"1,081",527,"1,248",265,"100,225"
19th St/Oakland,366,"3,341",575,"2,030",791,"1,411",415,960,"3,163",810,"5,208",990,248,"1,130",159,643,452,"6,343","2,268","1,266",570,"1,301",675,847,516,299,"1,232",292,289,"5,204","1,245",278,379,455,593,268,979,"6,810","1,036","1,036",189,563,"1,095","1,205",220,581,"1,244",140,658,390,"63,158"
24th St/Mission,"1,849","1,832","2,072",932,903,896,227,708,"1,836","3,870","8,194","1,274","1,881",880,262,"3,601",688,"7,786","2,023",847,352,"2,569","2,756",630,381,"1,398","2,276","1,143",192,"8,360",892,382,277,278,"2,472",333,620,"18,760","2,121","1,097","1,698",479,"1,189","2,306","1,280",384,590,278,"1,047",119,"99,220"
Antioch,"1,135","1,130",812,942,343,102,102,128,406,446,"2,893",431,250,"1,283",38,578,47,"3,338",144,61,132,390,504,221,148,290,"1,200",124,84,"3,017",57,270,357,122,300,440,571,"3,625",181,541,253,112,280,"1,492",314,82,"1,090",26,464,128,"31,424"
Ashby,"1,272","1,371","1,272",817,107,269,197,354,"2,261",335,"2,815",561,62,157,40,254,172,"2,713","1,103",629,244,993,274,218,110,391,752,114,165,"2,392",370,35,291,22,230,23,152,"3,045",994,99,110,183,398,683,73,179,172,35,68,186,"29,762"
Berryessa/North San Jose,433,378,450,249,108,240,296,373,"1,266",137,863,303,18,103,70,208,298,"1,497",312,150,985,635,99,644,48,409,404,4,235,"1,046",145,18,182,32,159,16,92,"1,446",194,88,10,430,478,107,18,645,110,114,59,"1,085","17,689"
Bay Fair,"1,644","1,282","1,020",763,111,319,344,345,801,533,"3,356","1,738",148,240,493,410,"1,247","4,195",457,167,"1,102","3,132",340,"1,241",44,"2,249",866,97,398,"3,627",184,45,115,63,505,62,114,"5,935",322,145,205,959,"1,736",381,125,839,158,756,128,879,"46,365"
Downtown Berkeley,"3,216","2,348","3,276","1,887",354,"2,570","1,015",821,"1,070",694,"4,372","1,234",207,662,304,673,704,"5,305","6,686","5,245",845,"2,410",915,921,435,"1,141","2,756",592,698,"3,961","1,635",202,652,313,722,206,673,"7,491","4,320",269,307,494,"1,382","1,688",189,929,722,259,440,461,"80,671"
Balboa Park,949,"4,196",720,"3,911",355,300,105,481,624,470,"7,186",513,972,368,176,824,338,"6,467",767,242,152,674,714,201,91,672,593,826,76,"7,071",249,28,97,48,"1,021",87,269,"18,405",592,478,"1,321",160,493,"1,655",683,172,203,119,408,79,"67,601"
