Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont, Exits 
12th St/Oakland City Center,498,"2,478",224,"1,887","1,107","1,041",405,"1,319","2,187","1,101","4,472","1,499",455,"1,088",144,936,343,"5,202","2,646","1,507",542,"1,000",859,"1,094",564,161,"1,167",443,298,"4,313",955,308,341,418,624,299,"1,195","6,327","1,163",746,321,507,"1,462","1,149",315,788,"1,164",84,989,319,"60,454"
16th St/Mission,"2,266",788,"2,882","1,189",958,"1,358",330,"1,078","1,939","3,947","3,884","1,558","1,784","1,139",380,"3,436","1,103","5,039","1,979",907,618,"2,628","2,534",790,459,"2,004","2,977","1,640",257,"5,272","1,279",332,305,414,"3,304",429,942,"9,269","1,973","1,545","1,415",501,"1,366","2,572","1,160",583,"1,084",445,"1,386",230,"87,657"
19th St/Oakland,207,"2,679",378,"1,801",724,943,330,912,"2,024",625,"4,353","1,180",135,847,104,534,266,"5,231","1,640","1,013",427,891,721,709,449,167,845,323,229,"4,824",810,235,314,335,442,247,849,"5,117",913,684,156,476,897,830,179,506,915,125,711,215,"50,467"
24th St/Mission,"1,822","1,117","1,890",862,677,833,244,711,"1,471","3,132","5,871","1,477","1,604",977,167,"2,752",627,"6,552","2,096",742,357,"2,263","2,264",463,350,"1,239","1,923","1,357",166,"7,518",815,295,337,205,"2,469",324,606,"12,851","2,054",932,"1,565",440,"1,051","1,884","1,251",271,600,300,"1,031",131,"82,936"
Antioch,"1,090","1,015",793,734,310,143,60,116,244,326,"2,709",536,217,"1,269",36,428,46,"3,173",139,42,105,419,468,162,161,230,"1,016",161,42,"2,294",46,207,438,97,206,338,455,"3,073",139,446,178,141,303,"1,228",260,72,794,17,348,101,"27,371"
Ashby,"1,178","1,345","1,026",735,78,282,200,272,"1,343",266,"2,330",702,50,141,19,155,121,"2,413","1,117",645,209,"1,009",223,262,83,398,672,137,139,"2,188",317,10,285,20,286,23,89,"2,281",952,32,117,133,430,548,64,249,123,48,65,139,"25,949"
Berryessa/North San Jose,400,289,368,263,45,233,238,361,789,123,642,790,11,87,48,107,247,"1,171",293,122,692,525,49,538,31,461,345,8,206,892,139,18,190,21,128,36,89,874,150,47,17,386,382,66,11,464,88,65,59,733,"14,337"
Bay Fair,"1,421","1,119","1,031",777,85,256,384,322,705,360,"2,795","2,032",98,215,404,272,"1,284","4,408",385,181,"1,006","2,940",340,"1,083",23,"1,773",780,71,282,"3,283",160,45,110,90,480,53,88,"4,533",258,158,155,831,"1,518",297,156,718,142,647,123,549,"41,226"
Downtown Berkeley,"2,611","2,015","2,391","1,465",211,"1,679",692,711,620,576,"3,456","1,242",117,411,126,436,487,"4,496","4,507","3,590",534,"1,990",514,600,331,811,"1,841",630,413,"3,342",720,101,561,231,577,93,452,"4,100","3,266",145,213,422,"1,012",927,177,639,469,168,338,256,"57,712"
Balboa Park,957,"3,288",579,"2,757",259,232,96,359,498,368,"5,862",490,785,270,115,516,372,"5,553",663,168,119,631,575,193,70,571,468,934,74,"6,822",153,65,117,105,669,81,136,"14,969",589,199,"1,159",132,411,"1,189",568,138,277,124,373,45,"56,143"
