Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,302,"1,535",135,"1,056",747,811,180,"1,015","1,174",797,"2,752","1,157",394,761,75,678,179,"2,419","1,834",957,471,815,449,783,198,128,695,287,112,"2,366",408,198,97,204,432,205,817,"4,195","1,001",379,243,337,"1,226",408,261,540,642,36,659,192,"37,742"
16th St/Mission,"1,453",370,"1,621",863,795,724,185,880,"1,003","3,191","2,610","1,246","1,244",795,188,"2,625",514,"2,272","1,742",524,349,"2,114","1,550",600,227,"1,332","1,472",688,93,"2,644",497,204,81,204,"2,314",379,725,"5,737","1,589",599,"1,015",481,"1,061",797,769,299,606,208,"1,094",96,"54,669"
19th St/Oakland,129,"1,645",168,"1,022",575,564,153,642,"1,068",451,"2,751",850,173,655,76,421,133,"2,523","1,187",517,203,676,322,544,162,147,473,94,130,"2,282",434,232,116,188,308,206,557,"3,151",705,307,146,239,668,258,120,314,491,83,621,137,"30,017"
24th St/Mission,"1,086",905,"1,059",443,561,474,128,729,715,"2,648","4,091","1,261","1,226",736,146,"2,296",323,"2,785","2,020",401,202,"2,118","1,397",379,283,965,"1,024",736,76,"3,792",444,167,91,109,"1,630",303,357,"8,239","1,682",358,"1,093",396,849,636,"1,029",252,389,209,932,76,"54,246"
Antioch,710,819,560,550,223,87,42,55,208,196,"1,779",408,233,908,14,288,54,"1,673",109,22,91,265,405,121,129,185,760,124,30,"1,422",19,222,172,87,156,298,422,"2,034",89,271,131,127,158,662,198,59,543,12,295,59,"18,484"
Ashby,902,720,611,353,82,139,109,206,854,180,"1,265",577,33,178,22,97,76,"1,039","1,078",493,78,936,87,159,20,225,477,57,44,"1,022",200,9,78,19,222,19,104,"1,625",629,33,120,117,349,92,42,145,85,31,70,114,"16,222"
Berryessa/North San Jose,160,179,161,144,43,128,123,230,280,81,424,263,22,70,27,59,145,358,177,45,533,410,29,413,5,339,148,6,131,294,48,12,27,10,116,16,63,532,128,26,6,301,272,29,3,300,31,49,66,429,"7,891"
Bay Fair,"1,162",982,756,741,63,198,202,197,554,386,"2,288","1,525",107,163,302,276,"1,106","2,250",346,157,875,"2,579",197,970,17,"1,612",612,71,186,"2,412",139,52,43,69,458,59,75,"3,339",235,103,141,664,"1,151",150,100,578,96,596,58,469,"31,867"
Downtown Berkeley,"1,549","1,169","1,239",766,199,"1,077",273,587,373,348,"1,787","1,300",73,252,76,306,192,"1,830","3,070","2,312",262,"1,365",246,450,88,452,"1,166",246,134,"1,504",424,66,259,52,382,58,169,"2,368","2,250",76,118,271,585,323,84,312,227,51,304,138,"33,208"
Balboa Park,689,"2,771",448,"2,427",181,146,54,281,336,208,"5,423",535,604,293,88,453,171,"3,558",640,146,131,554,446,235,35,484,332,697,38,"4,515",74,29,64,60,607,68,79,"12,163",542,120,883,160,324,695,453,104,169,120,283,57,"43,973"
Civic Center/UN Plaza,"2,515","2,194","2,629","3,298","1,517","1,108",395,"2,050","1,643","5,648",488,"2,580","2,024","2,167",701,"4,246","1,493","1,114","3,185","1,190",642,"4,768","2,234","1,208",485,"2,130","2,601","1,164",293,778,782,606,139,358,"4,331",424,"1,639",823,"1,942",953,"1,239",921,"2,052","1,189","1,292",862,"1,213",463,"1,787",184,"81,687"
Coliseum,"1,414","1,307",852,"1,244",332,571,238,"1,445","1,058",520,"2,540",346,79,319,279,524,754,"2,032",718,262,456,"2,153",452,"1,247",68,"1,283","1,107",90,147,"1,879",352,48,249,47,722,133,227,"3,337",726,168,188,643,"1,248",211,92,457,209,339,230,308,"35,650"
Colma,342,"1,114",204,"1,166",233,41,14,83,64,612,"1,798",75,137,83,11,302,69,"1,154",238,23,39,131,430,40,32,65,158,413,11,"1,339",40,25,6,20,178,65,60,"3,057",119,34,399,68,77,"1,167",134,52,95,5,214,5,"16,241"
Concord,841,917,608,782,955,137,49,163,250,328,"2,460",303,89,258,21,202,77,"1,901",218,100,87,259,355,141,"1,020",125,625,174,66,"1,828",76,339,176,329,177,904,703,"3,144",233,470,195,64,170,696,129,71,"1,568",22,"1,317",69,"26,191"
Castro Valley,119,278,80,157,14,37,29,454,83,71,771,304,9,12,64,91,865,809,43,43,183,561,81,112,4,584,91,24,15,"1,054",15,2,33,11,101,3,4,"1,193",38,9,64,114,450,52,59,139,12,474,5,33,"9,853"
Daly City,598,"2,795",350,"2,330",336,115,43,278,280,575,"4,611",533,261,175,55,274,317,"3,208",534,101,176,558,460,227,32,307,322,723,64,"3,673",131,47,42,73,441,116,150,"8,273",287,97,947,103,282,"1,206",420,126,241,121,275,79,"37,768"
Dublin/Pleasanton,239,528,230,388,45,102,142,"1,042",211,193,"1,586",767,62,68,749,345,245,"2,224",193,40,302,"1,411",163,451,13,765,278,51,130,"1,659",44,7,274,7,200,3,58,"2,522",70,28,30,256,782,414,50,274,35,297,68,120,"20,161"
Embarcadero,"2,771","2,252","2,781","3,203","2,051","1,195",400,"2,384","1,925","4,478","1,158","2,458","1,200","2,203","1,069","3,217","2,714",522,"3,912","1,419",853,"3,662","1,864","1,602",771,"2,689","2,264",521,271,291,"1,008",657,299,734,"5,776",658,"2,518","1,165","2,308","1,303",745,"1,302","3,216",818,829,"1,020","1,678",883,"2,034",299,"87,350"
El Cerrito del Norte,"1,080","1,226",707,"1,208",67,606,91,201,"1,712",457,"2,217",501,141,149,30,270,114,"2,475",199,292,155,656,330,220,51,310,899,146,71,"2,185",336,25,114,53,163,75,94,"3,180",538,99,163,102,278,282,103,159,161,49,124,107,"24,971"
El Cerrito Plaza,962,583,634,459,31,501,53,167,"2,234",156,"1,359",282,24,101,27,75,30,"1,423",557,84,101,393,139,122,49,261,684,110,52,"1,298",457,25,75,16,99,18,63,"1,796",862,120,31,113,198,223,66,122,83,39,93,43,"17,493"
Fremont,472,365,228,235,75,74,491,792,290,119,702,481,43,93,173,153,292,776,258,90,205,989,88,"1,233",6,499,318,22,511,812,53,8,92,29,107,23,104,882,140,36,48,648,623,108,33,784,24,61,81,441,"15,210"
Fruitvale,876,"2,243",676,"2,290",339,952,393,"2,583","1,375",585,"4,924","2,364",141,349,602,507,"1,559","3,260","1,147",438,924,404,404,"1,775",206,"1,052","1,318",143,246,"3,182",470,48,136,321,975,94,165,"6,254",792,445,252,"1,033","2,432",279,83,772,312,692,247,599,"53,658"
Glen Park,527,"1,449",372,"1,383",307,108,32,234,301,437,"2,175",378,426,304,79,447,135,"1,777",501,145,31,424,202,174,61,356,356,279,27,"2,834",82,36,49,38,353,72,177,"4,802",413,202,585,132,285,369,224,58,110,103,248,31,"24,630"
Hayward,846,574,623,434,108,197,413,983,388,261,"1,438","1,117",52,142,128,249,532,"1,421",398,107,"1,164","1,704",237,227,63,796,432,83,428,"1,132",127,39,58,32,289,63,56,"1,846",205,101,114,864,"1,380",86,88,"1,059",86,266,81,583,"24,100"
Lafayette,225,215,174,258,164,24,9,16,70,34,585,67,23,"1,211",5,37,8,627,66,39,10,204,68,83,79,28,218,23,7,950,20,65,81,74,35,157,410,657,62,248,32,7,59,191,25,21,442,3,208,4,"8,328"
Lake Merritt,139,"1,303",100,920,142,251,298,"1,523",379,546,"2,480","1,681",40,125,623,305,897,"2,456",501,236,477,"1,315",383,959,56,193,252,21,195,"2,412",195,55,141,36,234,50,104,"3,350",310,77,52,629,"1,802",108,57,513,122,406,95,269,"29,813"
MacArthur,813,"1,545",501,975,670,592,141,469,"1,046",429,"2,622","1,052",215,529,62,294,256,"2,100","1,468",697,302,"1,394",343,344,196,220,276,124,129,"2,066",473,95,114,180,415,427,617,"3,341","1,248",219,106,239,728,341,85,347,773,75,710,102,"32,505"
Millbrae,263,629,97,552,118,71,2,79,258,668,"1,016",136,334,182,16,789,48,458,246,98,19,124,321,60,29,46,127,201,3,885,31,14,16,11,153,11,62,"1,103",188,49,106,18,65,"1,110",161,22,55, -   ,92,11,"11,153"
Milpitas,132,104,137,75,26,53,155,185,167,34,310,127,17,52,45,76,107,241,118,47,503,261,28,422,8,165,109,2,152,286,41,16,40,8,26,19,26,348,49,25,21,267,169,50,7,367,24,49,50,468,"6,214"
Montgomery St,"3,062","2,729","2,850","4,546","1,795","1,231",357,"3,072","1,805","7,945",981,"2,300","1,851","2,452","1,121","4,242","1,767",269,"3,983","1,465",938,"3,969","3,377","1,412","1,064","2,529","2,408",903,301,401,938,605,180,692,"5,273",551,"2,136",425,"2,882","1,302","1,387","1,370","3,450","1,025","1,116","1,089","1,744",632,"2,574",389,"96,885"
North Berkeley,431,504,431,408,27,246,34,109,388,142,848,344,29,47,17,119,42,812,566,456,68,523,65,147,35,159,421,34,34,741,86,22,55,29,74,5,104,931,600,31,25,44,201,168,24,38,113,5,88,93,"10,963"
North Concord/Martinez,193,162,201,162,169,4,11,49,64,59,623,50,29,236,1,47,14,472,44,23,7,47,31,26,50,39,105,24,20,546,19,42,46,25,21,197,147,680,27,87,34,21,33,234,98,8,157,2,281,3,"5,670"
Oakland International Airport,71,92,103,75,123,58,42,23,173,75,177,171,4,146,17,36,215,217,138,51,71,74,28,45,59,80,75,4,33,162,41,42,20,21,23,18,128,201,63,38,21,49,56,113,10,47,113,63,155,16,"3,876"
Orinda,229,207,181,109,52,24,17,74,50,46,353,36,13,277,7,54,4,620,62,9,37,282,33,28,82,29,169,33,4,718,34,9,53,68,19,65,164,519,49,187,21,8,47,152,8,18,334,2,103,9,"5,708"
West Oakland,505,"2,189",293,"1,579",176,211,76,520,336,530,"4,103",777,189,201,98,364,225,"5,273",236,52,75,"1,128",382,246,17,199,352,128,26,"4,361",70,32,53,23,233,99,91,"6,290",292,166,167,161,425,378,155,64,127,55,131,40,"33,899"
Pittsburg Center,203,361,236,327,323,18,7,48,107,89,532,102,61,825,7,102,4,539,64,43,16,136,160,64,182,35,427,16,15,439,15,154,35,77,87,88,339,855,89,113,58,48,106,133,14,46,468,1,156,5,"8,375"
Pleasant Hill/Contra Costa Centre,737,698,577,383,353,134,44,47,210,86,"1,762",204,63,828,5,112,69,"2,166",132,74,99,158,264,60,336,142,650,59,18,"2,016",63,125,149,168,97,421,188,"2,370",50,440,177,23,138,467,64,18,659,20,559,33,"18,715"
Powell St,"3,525","5,028","2,676","6,971","1,752","1,393",424,"2,722","1,945","9,803",897,"2,810","2,724","2,319","1,030","6,605","2,146","1,275","4,266","1,594",770,"5,062","4,598","1,590",610,"2,759","2,838",961,264,438,787,653,222,522,"5,819",723,"1,993",782,"2,836","1,085","1,771","1,072","3,079","1,589","1,837",846,"1,584",676,"2,543",266,"112,480"
Richmond,968,"1,793",732,"1,820",74,587,104,252,"1,892",579,"2,221",683,181,214,32,317,86,"2,091",763,690,134,840,515,195,50,304,"1,034",193,54,"2,167",509,29,86,48,323,108,52,"3,404",235,151,219,199,283,232,145,97,210,37,131,110,"28,173"
Rockridge,519,581,341,374,255,33,28,117,54,136,"1,089",203,17,435,3,96,45,"1,262",213,146,25,458,203,102,276,100,254,34,19,"1,184",56,77,26,253,164,105,510,"1,238",150,128,43,56,199,271,52,84,530,13,338,10,"12,905"
San Bruno,260,"1,108",129,"1,113",119,117,3,143,118,"1,035","1,410",157,341,264,59,954,31,692,251,30,58,219,621,130,36,65,114,160,36,981,24,53,28,20,175,89,151,"2,162",216,62,131,60,128,320,237,40,93,20,242,4,"15,009"
South Hayward,415,423,265,406,121,115,297,710,246,95,"1,047",538,46,77,167,121,205,"1,061",155,114,614,"1,004",151,847,16,500,278,40,300,"1,070",62,31,63,12,174,50,47,"1,346",194,69,67,111,853,91,48,393,86,251,92,426,"15,910"
San Leandro,"1,278","1,121",682,891,147,441,220,"1,084",608,333,"2,320","1,479",78,140,435,335,903,"2,548",470,211,516,"2,580",310,"1,289",62,"1,906",784,64,150,"2,984",146,19,94,49,452,120,146,"3,626",344,224,87,847,233,238,88,591,152,509,126,408,"34,868"
San Francisco International Airport,301,654,234,485,717,68,12,150,278,727,856,154,835,647,60,"1,148",307,549,410,158,47,243,246,81,216,110,318,910,32,568,129,214,89,185,357,114,427,"1,582",208,252,238,63,218,365,368,90,488,78,728,41,"17,755"
South San Francisco,274,849,116,953,200,57,3,124,88,410,"1,337",85,160,85,49,462,47,895,230,64,30,72,238,82,25,84,96,180,5,822,28,88,6,15,106,20,96,"2,008",141,38,200,45,84,426,90,22,76,10,166,20,"11,807"
Union City,544,382,369,247,66,137,268,633,329,94,"1,026",603,39,88,114,98,264,936,210,115,758,829,74,927,17,443,346,20,333,951,53,10,60,12,107,57,22,959,105,70,18,406,616,104,46,116,51,157,83,589,"14,901"
Walnut Creek,706,611,582,420,631,108,31,114,247,159,"1,265",197,97,"1,746",7,237,29,"1,526",223,111,34,277,122,89,358,141,721,59,28,"1,620",94,215,160,300,146,409,732,"1,784",211,598,97,64,143,518,84,55,125,12,"1,105",12,"19,360"
West Dublin/Pleasanton,82,250,91,225,16,28,57,717,46,135,505,309,5,47,490,87,330,787,72,38,61,627,145,280,3,441,54,6,56,559,6,16,105, -   ,66,3,16,906,40,9,17,260,534,91,8,159,17,97,9,26,"8,934"
