Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont, Exits 
12th St/Oakland City Center,491,"2,408",230,"1,883","1,219",982,428,"1,379","2,990","1,122","4,760","2,020",458,"1,181",178,"1,105",390,"5,482","2,638","1,523",631,"1,226",806,"1,311",526,191,"1,385",530,254,"4,317",933,307,399,485,735,340,"1,174","6,393","1,277",834,342,576,"1,749","1,289",399,796,"1,229",115,973,299,"64,688"
16th St/Mission,"2,469",632,"3,098","1,428","1,030","1,601",391,"1,247","2,544","4,480","4,323","1,784","1,859","1,183",429,"3,718","1,064","4,834","2,055",908,580,"2,632","2,836",853,564,"2,100","3,035","1,681",261,"5,236","1,121",371,290,413,"3,413",431,835,"9,838","2,079","1,464","1,470",559,"1,407","2,871","1,226",520,"1,032",446,"1,237",245,"92,123"
19th St/Oakland,280,"3,004",356,"2,010",817,"1,145",417,956,"2,989",779,"4,930","1,777",209,"1,021",158,652,355,"5,649","2,095","1,114",449,"1,062",719,827,571,200,947,304,242,"4,866","1,042",252,404,384,577,271,893,"5,600",992,939,172,541,"1,098","1,024",219,611,"1,117",134,755,258,"58,183"
24th St/Mission,"1,804","1,301","1,924",669,858,974,210,645,"2,066","3,839","6,900","1,586","1,718",987,208,"3,272",639,"6,850","2,083",742,399,"2,542","2,452",576,422,"1,298","2,230","1,472",158,"7,656",802,326,302,256,"2,508",311,642,"13,997","2,204","1,068","1,584",499,"1,300","2,155","1,299",322,582,328,"1,097",137,"90,199"
Antioch,"1,170","1,033",864,979,306,132,97,105,388,361,"2,850",721,246,"1,400",21,539,65,"3,195",171,41,124,470,472,199,183,241,"1,095",184,45,"2,441",41,267,429,110,265,395,490,"3,096",126,529,200,86,294,"1,277",307,107,889,19,421,143,"29,629"
Ashby,"1,228","1,533","1,196",894,116,282,262,363,"1,833",323,"2,626","1,044",82,192,44,198,126,"2,656","1,154",665,228,"1,092",258,249,82,475,729,169,182,"2,231",399,17,339,31,266,24,139,"2,587","1,036",83,129,141,459,713,56,251,123,38,81,147,"29,571"
Berryessa/North San Jose,430,381,458,240,69,315,323,390,"1,194",122,878,"1,521",14,87,104,196,285,"1,241",310,163,"1,002",588,60,724,28,465,400,4,263,880,155,21,218,32,128,24,69,"1,086",185,76,12,446,423,99,21,735,100,125,77,"1,029","18,196"
Bay Fair,"1,629","1,283","1,027",742,72,357,372,306,848,444,"3,016","2,788",124,246,507,427,"1,309","3,762",424,218,"1,085","3,188",368,"1,213",50,"1,875",859,64,326,"3,507",148,53,103,89,473,64,114,"4,875",324,141,133,954,"1,729",322,110,864,128,655,123,609,"44,447"
Downtown Berkeley,"3,300","2,780","3,189","2,156",418,"2,167","1,059",910,905,896,"4,701","1,937",222,671,230,792,822,"6,446","6,166","5,001",933,"2,533",812,905,388,"1,102","2,491",807,776,"4,353","1,466",161,950,280,894,133,672,"6,503","4,151",200,278,532,"1,323","1,643",233,985,708,281,442,447,"82,150"
Balboa Park,"1,058","3,814",696,"3,746",369,283,104,409,757,429,"6,761",735,"1,076",354,107,793,390,"5,963",878,205,149,872,766,275,62,661,656,"1,184",116,"7,327",283,67,123,71,954,111,187,"16,109",656,562,"1,340",155,546,"1,362",617,191,315,146,474,68,"65,332"
