Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont, Exits 
12th St/Oakland City Center,592,"2,747",276,"2,063","1,203","1,109",501,"1,375","3,612","1,195","5,439","2,079",472,"1,391",240,"1,317",442,"6,421","2,898","1,740",776,"1,322",970,"1,413",547,205,"1,476",613,307,"4,794",976,305,483,490,785,358,"1,348","7,239","1,362",930,373,711,"1,989","1,310",453,913,"1,352",183,"1,007",379,"72,481"
16th St/Mission,"2,776",943,"3,785","1,728","1,148","1,794",413,"1,335","3,259","5,159","4,724","1,799","2,068","1,201",446,"4,180","1,056","5,423","2,222",952,597,"2,811","3,155",795,581,"2,201","3,564","1,921",260,"6,034","1,345",360,306,428,"3,764",478,863,"10,540","2,394","1,894","1,513",627,"1,467","3,341","1,371",564,"1,004",467,"1,365",219,"102,640"
19th St/Oakland,311,"3,521",652,"2,397",994,"1,426",516,971,"4,018",897,"5,985","1,596",270,"1,127",229,839,454,"6,604","2,291","1,194",503,"1,272",814,983,677,245,"1,196",354,374,"5,572","1,304",246,513,415,614,263,"1,038","6,542","1,216","1,073",246,622,"1,199","1,198",249,619,"1,222",216,844,308,"68,229"
24th St/Mission,"2,077","1,593","2,416",924,955,"1,102",276,730,"2,783","4,721","7,750","1,908","1,893",972,267,"4,009",588,"7,517","2,288",749,358,"2,668","2,931",652,407,"1,465","2,574","1,694",150,"8,318",888,327,318,242,"2,550",321,634,"14,800","2,398","1,200","1,769",506,"1,347","2,377","1,441",354,667,345,"1,128",120,"100,467"
Antioch,"1,222","1,112",942,"1,041",361,148,107,156,576,524,"3,023",698,248,"1,676",21,753,102,"3,540",199,45,130,447,509,312,251,293,"1,201",184,66,"2,797",41,252,460,149,294,423,569,"3,436",204,592,228,112,399,"1,426",299,135,"1,031",11,432,155,"33,332"
Ashby,"1,256","1,736","1,461","1,028",130,297,274,308,"2,565",349,"3,027",890,80,224,57,296,154,"3,029","1,252",800,248,"1,078",258,315,62,554,827,203,239,"2,390",566,33,357,14,277,41,164,"2,714","1,169",99,142,155,462,583,71,269,143,43,70,124,"32,883"
Berryessa/North San Jose,485,430,562,304,105,319,390,465,"1,895",150,950,935,15,129,126,299,346,"1,445",337,169,"1,352",617,99,984,37,525,443,14,260,"1,026",136,28,194,47,152,18,85,"1,117",189,97,14,550,555,84,58,"1,080",107,171,59,"1,298","21,252"
Bay Fair,"1,568","1,352","1,036",811,114,341,439,395,"1,201",485,"3,059","2,406",101,310,555,613,"1,329","4,180",482,213,"1,168","3,471",373,"1,364",55,"2,108",873,78,338,"3,678",170,69,124,103,553,76,115,"5,154",347,182,168,995,"1,767",381,145,921,137,634,119,658,"47,314"
Downtown Berkeley,"4,110","3,465","4,197","2,924",526,"3,089","1,559","1,229","1,432","1,183","5,984","2,437",295,829,349,"1,292","1,102","6,833","8,293","7,028","1,432","2,806","1,281","1,239",517,"1,535","3,313","1,151","1,165","4,902","2,207",205,"1,198",418,"1,039",281,973,"6,954","5,123",258,383,878,"1,746","1,473",275,"1,563",955,328,603,650,"105,007"
Balboa Park,"1,061","4,332",895,"4,618",419,321,134,429,"1,081",477,"7,447",728,"1,146",421,132,856,384,"6,440",961,268,182,"1,003","1,005",338,57,760,746,"1,424",98,"7,624",329,69,103,93,"1,202",108,233,"16,851",745,732,"1,499",189,626,"1,608",694,211,273,163,543,91,"72,149"
