Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,300,"1,697",146,"1,276",907,938,196,"1,001","1,447",869,"3,026","1,435",392,800,64,698,192,"2,765","1,911","1,061",488,830,532,933,228,144,867,299,116,"2,485",539,164,137,290,470,228,785,"4,481","1,090",422,261,413,"1,159",428,291,577,710,47,690,195,"41,420"
16th St/Mission,"1,631",461,"1,958",836,837,768,178,895,"1,141","3,308","2,694","1,289","1,456",839,214,"2,836",660,"2,489","1,796",557,376,"2,286","1,543",639,295,"1,396","1,844",851,120,"2,885",635,287,115,283,"2,644",385,725,"6,042","1,855",746,"1,020",504,"1,100","1,169",810,351,742,252,"1,169",110,"60,022"
19th St/Oakland,120,"1,923",196,"1,113",612,638,151,761,"1,305",478,"2,892","1,137",122,665,70,422,175,"2,626","1,262",545,243,817,438,544,194,128,576,100,134,"2,362",473,249,163,197,381,199,581,"3,454",842,331,172,321,705,353,145,360,486,116,683,131,"33,091"
24th St/Mission,"1,246",908,"1,184",546,614,509,178,752,844,"3,014","4,094","1,347","1,396",810,146,"2,436",404,"3,273","1,941",495,237,"2,260","1,617",386,249,995,"1,211",731,117,"4,155",475,240,133,164,"1,837",265,417,"8,860","1,941",500,"1,185",372,949,787,"1,089",252,459,228,979,65,"59,292"
Antioch,794,893,617,651,275,97,56,89,207,257,"1,806",574,238,"1,111",29,304,48,"1,932",133,38,68,293,397,158,151,199,865,147,25,"1,473",18,212,250,63,186,324,494,"2,116",95,373,144,129,181,795,179,77,642,10,337,49,"20,599"
Ashby,979,790,732,456,70,174,121,289,891,152,"1,431",748,51,149,31,88,100,"1,108","1,064",519,95,987,148,206,21,241,516,84,69,"1,156",240,7,121,19,203,18,95,"1,814",759,27,93,94,356,172,39,154,92,41,45,110,"17,965"
Berryessa/North San Jose,155,201,181,189,42,160,163,237,373,87,427,605,26,74,40,52,168,431,224,79,576,449,35,423,17,325,213,2,118,354,53,19,82,19,77,15,56,556,173,33,7,336,293,37,7,357,40,24,45,445,"9,100"
Bay Fair,"1,202","1,034",782,808,80,255,212,219,567,383,"2,231","2,012",90,188,371,291,"1,208","2,289",390,162,911,"2,712",210,929,24,"1,653",640,58,163,"2,592",162,54,74,75,377,51,83,"3,444",222,136,143,672,"1,257",190,107,612,64,652,69,463,"33,573"
Downtown Berkeley,"1,718","1,247","1,545",911,226,"1,221",319,566,333,409,"1,780","1,417",75,241,98,270,277,"1,946","3,309","2,581",317,"1,443",263,508,98,566,"1,344",258,203,"1,568",452,61,317,41,407,61,188,"2,572","2,579",101,137,263,650,393,113,415,227,50,285,176,"36,545"
Balboa Park,849,"2,826",462,"2,715",207,128,77,317,367,245,"5,423",589,702,271,78,487,188,"3,738",645,163,90,680,471,211,27,532,394,631,41,"4,684",90,25,65,70,607,89,84,"12,455",562,181,898,170,341,736,497,121,214,125,277,73,"45,918"
Civic Center/UN Plaza,"2,708","2,243","2,848","3,178","1,570","1,233",396,"2,061","1,632","5,737",609,"2,612","1,988","2,216",723,"4,218","1,641","1,335","3,320","1,354",695,"4,835","2,495","1,223",717,"2,260","2,907","1,216",292,863,"1,032",660,209,403,"4,357",407,"1,690",826,"2,152","1,261","1,363",897,"2,173","1,549","1,376",891,"1,371",530,"1,912",182,"86,366"
Coliseum,"1,644","1,333","1,143","1,359",482,670,626,"1,841","1,227",542,"2,668",494,74,443,625,557,"2,082","2,447","1,048",391,758,"2,659",510,"1,444",240,"1,600","1,309",123,345,"2,161",436,115,326,154,960,128,351,"3,358",815,306,221,833,"1,913",217,100,833,334,616,315,515,"45,691"
Colma,337,"1,238",180,"1,314",218,65,9,80,68,771,"1,882",82,114,91,20,288,57,"1,211",211,37,40,142,421,39,33,69,182,371,19,"1,443",67,22,7,33,147,65,61,"3,077",166,22,416,60,75,"1,170",145,40,97,2,203,19,"16,926"
Concord,761,972,652,845,"1,090",120,78,203,237,323,"2,501",385,110,306,17,250,65,"1,937",237,127,105,348,396,195,"1,000",154,736,159,79,"2,070",82,357,228,272,189,943,718,"3,220",243,505,168,81,221,848,135,83,"1,698",23,"1,477",62,"28,011"
Castro Valley,116,299,88,174,6,45,35,803,94,96,736,639,12,14,72,70,805,916,39,40,158,564,100,146,3,577,122,19,26,"1,154",38,2,44,10,102,7,15,"1,136",20,23,85,95,462,80,37,101,17,482,2,33,"10,759"
Daly City,618,"2,891",405,"2,424",329,99,57,276,247,553,"4,557",615,278,221,74,317,309,"3,405",489,122,135,555,528,240,63,307,297,730,62,"3,919",145,24,83,71,402,100,177,"8,376",309,99,941,102,289,"1,361",529,135,237,73,253,81,"38,909"
Dublin/Pleasanton,242,683,242,440,53,136,148,"1,118",264,215,"1,759","1,948",54,70,737,344,287,"2,562",214,48,249,"1,401",209,515,16,861,296,63,127,"1,874",42,9,393,8,189,12,69,"2,557",88,41,31,256,867,552,68,287,33,342,68,116,"23,203"
Embarcadero,"3,075","2,602","3,073","3,526","2,340","1,375",478,"2,530","2,238","4,719","1,470","2,907","1,260","2,434","1,164","3,441","3,121",728,"4,108","1,569",980,"3,975","2,168","1,651","1,069","2,854","2,652",646,400,291,"1,292",741,417,969,"6,146",621,"2,621","1,386","2,592","1,778",820,"1,341","3,379","1,287",863,"1,154","2,160",994,"2,383",331,"98,119"
