Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,377,"1,857",164,"1,505",845,925,212,982,"1,500",896,"3,372","1,260",337,836,74,699,206,"3,152","2,052","1,085",474,775,548,915,299,167,939,306,144,"2,847",618,212,199,312,515,226,877,"4,860","1,068",515,266,476,"1,086",657,290,492,775,48,748,193,"44,183"
16th St/Mission,"1,843",588,"2,225",905,826,"1,119",247,948,"1,500","3,479","2,810","1,249","1,412","1,016",302,"3,110",756,"2,834","1,725",742,448,"2,611","2,003",635,348,"1,729","2,222","1,036",134,"3,332",879,325,224,343,"3,154",359,762,"6,892","1,802","1,209","1,151",538,"1,154","1,686",840,365,838,294,"1,169",119,"68,237"
19th St/Oakland,157,"2,315",338,"1,360",617,777,204,767,"1,482",523,"3,210","1,236",144,673,86,475,206,"3,170","1,298",622,265,797,508,571,288,122,634,163,177,"2,907",626,229,264,229,404,226,660,"3,959",842,478,173,360,717,514,158,334,572,100,633,169,"37,739"
24th St/Mission,"1,418",919,"1,431",658,606,672,150,736,"1,024","3,038","4,307","1,339","1,403",934,151,"2,481",491,"3,570","1,934",532,244,"2,183","1,813",352,280,"1,087","1,448",851,103,"4,587",622,254,176,160,"2,076",275,476,"9,579","1,976",660,"1,275",365,972,"1,211","1,055",238,444,259,960,91,"63,866"
Antioch,825,874,595,653,292,117,54,107,185,337,"2,006",589,254,"1,091",22,364,50,"2,144",141,46,107,351,400,162,141,190,879,152,29,"1,579",37,195,333,68,157,351,484,"2,422",100,377,121,128,198,936,220,64,673,8,319,54,"21,981"
Ashby,903,"1,052",823,622,82,179,153,270,899,226,"1,676",772,93,147,22,85,109,"1,363","1,069",640,107,968,201,236,30,283,531,109,76,"1,304",264,8,193,13,266,15,99,"1,944",900,35,115,121,362,243,65,146,107,30,65,96,"20,117"
Berryessa/North San Jose,243,225,239,174,48,181,186,249,445,120,485,615,19,79,34,82,125,572,226,105,614,420,34,427,30,315,281,6,155,420,82,10,93,18,85,12,59,596,122,41,5,296,251,43,16,447,53,24,62,514,"9,983"
Bay Fair,"1,159","1,083",748,761,89,271,278,265,495,364,"2,248","1,876",123,171,398,277,"1,225","2,382",364,169,889,"2,739",266,923,35,"1,695",635,69,199,"2,793",171,48,98,85,478,56,76,"3,652",236,133,111,703,"1,279",218,101,517,103,629,68,520,"34,271"
Downtown Berkeley,"1,813","1,526","1,819","1,155",211,"1,369",385,549,429,482,"2,254","1,200",103,263,129,328,319,"2,727","3,633","2,800",382,"1,490",355,534,125,593,"1,424",406,314,"1,839",567,54,445,74,490,58,267,"3,064","2,776",95,154,282,704,593,148,384,282,74,304,202,"41,973"
Balboa Park,749,"3,125",554,"2,935",285,181,85,349,429,363,"5,362",547,716,297,94,508,246,"3,907",701,203,122,683,522,184,40,585,483,681,53,"4,946",155,27,85,89,624,81,129,"12,522",569,273,919,148,349,997,497,117,223,159,267,74,"48,239"
