Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont, Exits 
12th St/Oakland City Center,515,"2,609",314,"2,103","1,188","1,196",484,"1,334","3,458","1,114","5,656","1,469",423,"1,339",217,"1,309",524,"6,422","2,706","1,628",817,"1,405",938,"1,308",578,181,"1,596",654,355,"4,949","1,028",323,389,507,783,359,"1,301","7,637","1,479",989,409,731,"1,775","1,522",375,931,"1,275",231,964,388,"72,185"
16th St/Mission,"2,620",789,"3,691","1,771","1,219","1,655",391,"1,240","3,044","5,360","5,076","1,369","2,120","1,279",556,"4,402","1,102","6,003","2,229","1,021",691,"2,910","3,160",790,718,"2,242","3,465","1,875",293,"6,254","1,310",347,333,544,"3,985",482,945,"11,475","2,349","1,998","1,663",558,"1,497","3,399","1,341",594,"1,151",492,"1,368",218,"105,384"
19th St/Oakland,296,"3,777",600,"2,515",876,"1,414",483,"1,113","3,936",903,"6,228","1,232",236,"1,171",223,815,424,"7,350","2,398","1,356",533,"1,382",881,927,637,206,"1,312",447,354,"5,935","1,375",272,458,498,568,295,"1,149","6,940","1,078","1,156",262,628,"1,153","1,422",272,691,"1,216",188,634,344,"70,559"
24th St/Mission,"2,132","1,745","2,428",897,930,"1,035",329,688,"2,343","4,370","8,148","1,435","2,007",865,261,"3,850",714,"8,160","2,129",760,411,"2,740","3,056",654,470,"1,622","2,553","1,681",189,"9,317",929,384,309,207,"2,773",345,707,"16,868","2,334","1,306","1,665",469,"1,333","2,585","1,322",399,615,308,"1,072",107,"103,956"
Antioch,"1,078","1,098",847,903,349,105,111,117,485,393,"2,979",483,250,"1,365",42,660,71,"3,443",176,61,102,451,484,238,180,290,"1,316",170,69,"2,965",51,275,349,138,260,492,577,"3,387",195,599,254,109,281,"1,475",286,103,"1,068",34,453,145,"31,812"
Ashby,"1,320","1,654","1,458",975,85,238,262,354,"2,372",363,"3,149",536,81,189,39,298,160,"3,140","1,182",742,274,993,256,261,112,433,791,219,223,"2,625",511,40,381,35,250,47,167,"3,010","1,081",100,126,203,385,754,98,226,194,45,88,205,"32,730"
Berryessa/North San Jose,493,414,477,348,117,307,301,489,"2,222",169,"1,010",398,11,129,112,258,369,"1,614",302,215,"1,232",684,115,844,65,469,453,12,246,"1,008",162,22,221,35,180,19,121,"1,318",198,96,10,599,555,96,30,884,118,148,89,"1,313","21,097"
Bay Fair,"1,578","1,367","1,117",733,126,371,470,311,997,493,"3,416","1,826",109,306,555,537,"1,289","4,443",487,168,"1,247","3,195",387,"1,257",39,"2,163",896,110,396,"3,612",148,39,138,52,528,67,84,"5,657",332,139,176,942,"1,794",378,138,881,120,805,115,919,"47,453"
Downtown Berkeley,"3,974","3,025","4,076","2,404",507,"2,762","1,783","1,008","1,170",966,"5,680","1,488",259,727,336,"1,021",865,"6,739","7,642","6,341","1,175","2,762","1,094","1,090",492,"1,455","3,081","1,376","1,184","4,554","1,884",189,"2,360",315,942,212,798,"7,880","4,851",245,339,701,"1,641","2,810",240,"1,320",946,316,533,685,"100,243"
Balboa Park,"1,002","4,567",798,"4,426",380,328,126,466,861,513,"7,855",565,"1,037",384,116,829,423,"6,777",812,253,170,858,849,245,126,741,687,"1,374",93,"7,485",298,39,101,67,"1,049",111,276,"17,817",676,599,"1,356",172,509,"1,736",746,185,268,126,487,87,"71,851"
