Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,421,"2,229",187,"1,747","1,067","1,031",319,"1,140","1,834","1,107","3,918","1,273",378,993,154,907,316,"4,203","2,357","1,356",497,890,747,"1,083",413,170,"1,056",392,240,"3,669",797,269,267,410,578,329,"1,017","5,710","1,151",583,259,493,"1,279",893,363,689,"1,004",67,900,236,"53,388"
16th St/Mission,"2,226",590,"2,795","1,064",909,"1,422",271,"1,114","1,704","3,921","3,440","1,317","1,658","1,171",377,"3,503",912,"3,719","2,003",955,536,"2,675","2,589",736,455,"2,064","2,881","1,444",236,"4,280","1,053",340,267,388,"3,536",414,966,"8,449","1,912","1,491","1,288",572,"1,315","2,165","1,017",484,"1,043",424,"1,342",196,"81,629"
19th St/Oakland,177,"2,613",340,"1,691",639,826,234,782,"1,606",581,"3,775",996,169,761,83,526,201,"4,329","1,294",874,347,857,670,639,302,161,778,223,190,"4,116",694,205,283,268,459,238,685,"4,614",929,504,124,384,865,629,212,424,690,117,648,191,"43,943"
24th St/Mission,"1,704","1,024","1,764",778,665,812,180,715,"1,242","3,268","5,383","1,288","1,481",966,169,"2,616",584,"4,967","2,116",747,294,"2,445","2,067",393,400,"1,240","1,903","1,229",155,"6,351",742,288,222,231,"2,377",299,542,"11,503","2,091",873,"1,404",396,"1,082","1,504","1,235",289,493,263,"1,068",105,"75,953"
Antioch,996,"1,001",688,715,321,120,52,94,214,307,"2,445",528,244,"1,228",11,401,49,"2,766",134,39,115,397,406,195,105,241,932,169,41,"2,094",58,205,303,71,184,386,500,"2,700",127,420,152,148,211,"1,098",244,88,754,13,332,62,"25,104"
Ashby,"1,084","1,333","1,004",667,100,212,187,302,"1,099",241,"2,104",648,54,145,34,109,145,"2,089","1,080",618,181,975,194,249,79,398,581,141,112,"1,765",249,10,218,17,298,18,99,"2,252",899,56,113,147,368,388,58,213,150,44,61,136,"23,724"
Berryessa/North San Jose,272,261,281,198,68,227,193,270,511,110,628,514,17,91,40,72,189,792,233,93,721,465,56,457,28,401,347,5,173,669,90,10,152,20,107,22,68,744,135,53,9,371,283,59,11,478,79,38,67,704,"11,882"
Bay Fair,"1,302","1,188",857,769,100,257,275,247,597,381,"2,749","1,760",92,226,378,282,"1,300","3,347",418,200,"1,024","2,853",298,"1,028",22,"1,792",697,65,219,"3,249",178,56,124,79,451,74,73,"4,000",283,157,153,753,"1,302",238,147,615,122,622,116,564,"38,079"
Downtown Berkeley,"2,104","1,798","2,074","1,245",230,"1,489",478,623,524,511,"2,966","1,139",108,343,134,352,382,"3,389","3,906","3,169",484,"1,827",399,556,198,763,"1,519",526,297,"2,533",682,96,428,112,513,89,351,"3,373","2,870",120,190,332,815,702,123,478,415,189,316,265,"48,525"
Balboa Park,892,"3,362",574,"2,840",250,204,86,354,477,313,"5,887",457,849,296,86,540,297,"4,513",693,181,131,663,573,218,42,603,503,796,65,"6,196",119,44,86,109,619,84,152,"13,949",557,203,"1,038",139,381,"1,079",587,124,245,172,316,72,"53,016"
